"","Kanal 1 Durchschn. (V)"
"1","0,001929"
"2","0,001800"
"3","0,001800"
"4","0,001543"
"5","0,001852"
"6","0,001874"
"7","0,001543"
"8","0,001736"
"9","0,001800"
"10","0,001672"
"11","0,001929"
"12","0,001698"
"13","0,001929"
"14","0,001415"
"15","0,001543"
"16","0,001433"
"17","0,001800"
"18","0,001543"
"19","0,001286"
"20","0,001929"
"21","0,001543"
"22","0,001736"
"23","0,001672"
"24","0,001800"
"25","0,001736"
"26","0,001736"
"27","0,001653"
"28","0,001543"
"29","0,001736"
"30","0,001852"
"31","0,001764"
"32","0,002058"
"33","0,001929"
"34","0,001764"
"35","0,001698"
"36","0,001929"
"37","0,001672"
"38","0,001653"
"39","0,001543"
"40","0,001543"
"41","0,001929"
"42","0,001323"
"43","0,001736"
"44","0,001698"
"45","0,001929"
"46","0,001543"
"47","0,001698"
"48","0,001653"
"49","0,001543"
"50","0,001543"
"51","0,001389"
"52","0,001984"
"53","0,001389"
"54","0,001852"
"55","0,001672"
"56","0,001929"
"57","0,001543"
"58","0,001389"
"59","0,002058"
"60","0,001389"
"61","0,002058"
"62","0,001653"
"63","0,001800"
"64","0,001543"
"65","0,001543"
"66","0,001764"
"67","0,001415"
"68","0,001736"
"69","0,001415"
"70","0,002058"
"71","0,001389"
"72","0,001929"
"73","0,001800"
"74","0,001323"
"75","0,001543"
"76","0,001698"
"77","0,001672"
"78","0,001415"
"79","0,001929"
"80","0,001672"
"81","0,001543"
"82","0,001543"
"83","0,001698"
"84","0,001800"
"85","0,001415"
"86","0,001543"
"87","0,001415"
"88","0,001286"
"89","0,001543"
"90","0,001543"
"91","0,001929"
"92","0,001543"
"93","0,001736"
"94","0,001672"
"95","0,001543"
"96","0,001698"
"97","0,001415"
"98","0,002315"
"99","0,001852"
"100","0,001543"
"101","0,001736"
"102","0,001543"
"103","0,001543"
"104","0,001698"
"105","0,002058"
"106","0,001235"
"107","0,001736"
"108","0,001433"
"109","0,001543"
"110","0,001929"
"111","0,001415"
"112","0,001800"
"113","0,001389"
"114","0,001698"
"115","0,001433"
"116","0,001543"
"117","0,001929"
"118","0,001672"
"119","0,001764"
"120","0,001543"
"121","0,001543"
"122","0,064430"
"123","0,064893"
"124","0,067670"
"125","0,070757"
"126","0,074229"
"127","0,076158"
"128","0,078153"
"129","0,080788"
"130","0,083411"
"131","0,084723"
"132","0,086421"
"133","0,089044"
"134","0,091205"
"135","0,092362"
"136","0,094600"
"137","0,096992"
"138","0,098535"
"139","0,100155"
"140","0,102393"
"141","0,104399"
"142","0,105711"
"143","0,107640"
"144","0,110032"
"145","0,111652"
"146","0,112887"
"147","0,115124"
"148","0,117208"
"149","0,118365"
"150","0,120294"
"151","0,122763"
"152","0,124229"
"153","0,125618"
"154","0,127547"
"155","0,129631"
"156","0,130943"
"157","0,132331"
"158","0,134646"
"159","0,136652"
"160","0,137656"
"161","0,139662"
"162","0,141977"
"163","0,143520"
"164","0,144832"
"165","0,146761"
"166","0,149075"
"167","0,150156"
"168","0,151776"
"169","0,153859"
"170","0,155711"
"171","0,157023"
"172","0,158875"
"173","0,160881"
"174","0,162270"
"175","0,163736"
"176","0,165819"
"177","0,167594"
"178","0,169137"
"179","0,170758"
"180","0,172918"
"181","0,174384"
"182","0,175542"
"183","0,177625"
"184","0,179863"
"185","0,181020"
"186","0,182100"
"187","0,184878"
"188","0,186653"
"189","0,187502"
"190","0,189354"
"191","0,191514"
"192","0,192903"
"193","0,194215"
"194","0,196452"
"195","0,198381"
"196","0,199384"
"197","0,201236"
"198","0,203551"
"199","0,205172"
"200","0,206175"
"201","0,208181"
"202","0,210187"
"203","0,211422"
"204","0,213042"
"205","0,215280"
"206","0,216900"
"207","0,217826"
"208","0,219755"
"209","0,222070"
"210","0,223382"
"211","0,224616"
"212","0,226854"
"213","0,228706"
"214","0,229940"
"215","0,231484"
"216","0,233953"
"217","0,235650"
"218","0,236808"
"219","0,239200"
"220","0,241206"
"221","0,242209"
"222","0,243829"
"223","0,245990"
"224","0,247456"
"225","0,248690"
"226","0,250774"
"227","0,252780"
"228","0,253783"
"229","0,255403"
"230","0,257641"
"231","0,260033"
"232","0,260573"
"233","0,262039"
"234","0,263891"
"235","0,265820"
"236","0,266900"
"237","0,268675"
"238","0,270836"
"239","0,271993"
"240","0,273459"
"241","0,275620"
"242","0,277163"
"243","0,278243"
"244","0,279941"
"245","0,282178"
"246","0,283413"
"247","0,284648"
"248","0,286731"
"249","0,288737"
"250","0,289817"
"251","0,291592"
"252","0,293598"
"253","0,295141"
"254","0,296453"
"255","0,298614"
"256","0,300234"
"257","0,301469"
"258","0,302858"
"259","0,305172"
