"","Kanal 10 Durchschn. (V)"
"1","0,001"
"2","0,000"
"3","0,000"
"4","0,001"
"5","0,001"
"6","0,001"
"7","0,000"
"8","0,001"
"9","0,000"
"10","0,001"
"11","0,001"
"12","0,001"
"13","0,000"
"14","0,001"
"15","0,000"
"16","0,001"
"17","0,001"
"18","0,000"
"19","0,000"
"20","0,000"
"21","0,000"
"22","0,001"
"23","0,001"
"24","0,000"
"25","0,000"
"26","0,000"
"27","0,001"
"28","0,001"
"29","0,001"
"30","0,001"
"31","0,001"
"32","0,000"
"33","0,001"
"34","0,001"
"35","0,000"
"36","0,001"
"37","0,000"
"38","0,001"
"39","0,001"
"40","0,001"
"41","0,000"
"42","0,000"
"43","0,000"
"44","0,001"
"45","0,001"
"46","0,001"
"47","0,000"
"48","0,000"
"49","0,001"
"50","0,000"
"51","0,001"
"52","0,000"
"53","0,000"
"54","0,001"
"55","0,001"
"56","0,000"
"57","0,001"
"58","0,001"
"59","0,000"
"60","0,001"
"61","0,001"
"62","0,000"
"63","0,001"
"64","0,001"
"65","0,000"
"66","0,000"
"67","0,000"
"68","0,000"
"69","0,001"
"70","0,000"
"71","0,000"
"72","0,001"
"73","0,001"
"74","0,001"
"75","0,001"
"76","0,001"
"77","0,001"
"78","0,000"
"79","0,000"
"80","0,001"
"81","0,001"
"82","0,000"
"83","0,001"
"84","0,000"
"85","0,000"
"86","0,001"
"87","0,000"
"88","0,000"
"89","0,000"
"90","0,000"
"91","0,000"
"92","0,001"
"93","0,001"
"94","0,000"
"95","0,000"
"96","0,001"
"97","0,000"
"98","0,000"
"99","0,001"
"100","0,001"
"101","0,000"
"102","0,001"
"103","0,000"
"104","0,001"
"105","0,000"
"106","0,001"
"107","0,000"
"108","0,001"
"109","0,000"
"110","0,000"
"111","0,001"
"112","0,001"
"113","0,001"
"114","0,001"
"115","0,000"
"116","0,000"
"117","0,000"
"118","0,000"
"119","0,000"
"120","0,000"
"121","0,001"
"122","0,001"
"123","0,001"
"124","0,001"
"125","0,000"
"126","0,001"
"127","0,001"
"128","0,001"
"129","0,000"
"130","0,001"
"131","0,000"
"132","0,000"
"133","0,000"
"134","0,001"
"135","0,000"
"136","0,000"
"137","0,001"
"138","0,001"
"139","0,001"
"140","0,001"
"141","0,001"
"142","0,001"
"143","0,000"
"144","0,001"
"145","0,001"
"146","0,000"
"147","0,000"
"148","0,000"
"149","0,000"
"150","0,000"
"151","0,001"
"152","0,000"
"153","0,001"
"154","0,000"
"155","0,001"
"156","0,000"
"157","0,001"
"158","0,001"
"159","0,000"
"160","0,001"
"161","0,001"
"162","0,000"
"163","0,000"
"164","0,000"
"165","0,001"
"166","0,001"
"167","0,001"
"168","0,000"
"169","0,001"
"170","0,000"
"171","0,001"
"172","0,001"
"173","0,000"
"174","0,001"
"175","0,000"
"176","0,001"
"177","0,000"
"178","0,001"
"179","0,000"
"180","0,001"
"181","0,000"
"182","0,001"
"183","0,000"
"184","0,000"
"185","0,001"
"186","0,001"
"187","0,000"
"188","0,001"
"189","0,000"
"190","0,001"
"191","0,001"
"192","0,000"
"193","0,001"
"194","0,000"
"195","0,000"
"196","0,000"
"197","0,000"
"198","0,001"
"199","0,001"
"200","0,001"
"201","0,001"
"202","0,001"
"203","0,000"
"204","0,001"
"205","0,000"
"206","0,000"
"207","0,000"
"208","0,000"
"209","0,000"
"210","0,000"
"211","0,001"
"212","0,001"
"213","0,000"
"214","0,001"
"215","0,001"
"216","0,001"
"217","0,001"
"218","0,000"
"219","0,000"
"220","0,000"
"221","0,001"
"222","0,000"
"223","0,001"
"224","0,000"
"225","0,000"
"226","0,001"
"227","0,000"
"228","0,001"
"229","0,001"
"230","0,001"
"231","0,001"
"232","0,000"
"233","0,000"
"234","0,002"
"235","0,001"
"236","0,001"
"237","0,001"
"238","0,001"
"239","0,000"
"240","0,001"
"241","0,000"
"242","0,000"
"243","0,001"
"244","0,000"
"245","0,001"
"246","0,001"
"247","0,000"
"248","0,000"
"249","0,000"
"250","0,001"
"251","0,000"
"252","0,001"
"253","0,000"
"254","0,001"
"255","0,001"
"256","0,000"
"257","0,001"
"258","0,000"
"259","0,000"
"260","0,001"
"261","0,000"
"262","0,000"
"263","0,001"
"264","0,001"
"265","0,001"
"266","0,001"
"267","0,001"
"268","0,001"
"269","0,000"
"270","0,000"
"271","0,001"
"272","0,001"
"273","0,001"
"274","0,001"
"275","0,001"
"276","0,000"
"277","0,001"
"278","0,001"
"279","0,001"
"280","0,000"
"281","0,001"
"282","0,001"
"283","0,000"
"284","0,001"
"285","0,001"
"286","0,000"
"287","0,000"
"288","0,000"
"289","0,000"
"290","0,000"
"291","0,000"
"292","0,000"
"293","0,000"
"294","0,002"
"295","0,001"
"296","0,000"
"297","0,001"
"298","0,001"
"299","0,000"
"300","0,001"
"301","0,001"
"302","0,001"
"303","0,001"
"304","0,001"
"305","0,000"
"306","0,001"
"307","0,001"
"308","0,001"
"309","0,001"
"310","0,001"
"311","0,001"
"312","0,001"
"313","0,001"
"314","0,001"
"315","0,000"
"316","0,001"
"317","0,001"
"318","0,001"
"319","0,000"
"320","0,000"
"321","0,000"
"322","0,000"
"323","0,001"
"324","0,001"
"325","0,000"
"326","0,001"
"327","0,001"
"328","0,000"
"329","0,001"
"330","0,001"
"331","0,000"
"332","0,001"
"333","0,001"
"334","0,001"
"335","0,000"
"336","0,001"
"337","0,000"
"338","0,001"
"339","0,001"
"340","0,001"
"341","0,000"
"342","0,000"
"343","0,001"
"344","0,000"
"345","0,000"
"346","0,000"
"347","0,000"
"348","0,000"
"349","0,000"
"350","0,000"
"351","0,001"
"352","0,001"
"353","0,000"
"354","0,001"
"355","0,001"
"356","0,001"
"357","0,001"
"358","0,000"
"359","0,001"
"360","0,000"
"361","0,001"
"362","0,000"
"363","0,001"
"364","0,001"
"365","0,001"
"366","0,001"
"367","0,000"
"368","0,000"
"369","0,000"
"370","0,000"
"371","0,001"
"372","0,001"
"373","0,001"
"374","0,000"
"375","0,000"
"376","0,001"
"377","0,000"
"378","0,001"
"379","0,001"
"380","0,001"
"381","0,001"
"382","0,001"
"383","0,000"
"384","0,001"
"385","0,000"
"386","0,001"
"387","0,001"
"388","0,001"
"389","0,001"
"390","0,001"
"391","0,000"
"392","0,000"
"393","0,001"
"394","0,001"
"395","0,000"
"396","0,001"
"397","0,000"
"398","0,000"
"399","0,000"
"400","0,001"
"401","0,000"
"402","0,000"
"403","0,001"
"404","0,001"
"405","0,000"
"406","0,001"
"407","0,001"
"408","0,000"
"409","0,001"
"410","0,001"
"411","0,000"
"412","0,001"
"413","0,001"
"414","0,001"
"415","0,000"
"416","0,001"
"417","0,001"
