"","Kanal 1 Durchschn. (V)"
"1","0,001543"
"2","0,001350"
"3","0,001350"
"4","0,001235"
"5","0,001286"
"6","0,001235"
"7","0,001389"
"8","0,001543"
"9","0,001389"
"10","0,001415"
"11","0,001029"
"12","0,001157"
"13","0,001543"
"14","0,001543"
"15","0,000965"
"16","0,001415"
"17","0,001157"
"18","0,001286"
"19","0,001157"
"20","0,001286"
"21","0,001286"
"22","0,001157"
"23","0,001286"
"24","0,001929"
"25","0,001543"
"26","0,001157"
"27","0,001029"
"28","0,001157"
"29","0,001157"
"30","0,001286"
"31","0,001286"
"32","0,001350"
"33","0,001029"
"34","0,001389"
"35","0,001157"
"36","0,001029"
"37","0,001235"
"38","0,001235"
"39","0,001286"
"40","0,001350"
"41","0,001389"
"42","0,001543"
"43","0,001080"
"44","0,001286"
"45","0,001029"
"46","0,001080"
"47","0,001543"
"48","0,001029"
"49","0,000965"
"50","0,001286"
"51","0,000965"
"52","0,001157"
"53","0,001698"
"54","0,001157"
"55","0,001286"
"56","0,001415"
"57","0,000926"
"58","0,001286"
"59","0,001543"
"60","0,001080"
"61","0,001543"
"62","0,001286"
"63","0,001080"
"64","0,001286"
"65","0,001080"
"66","0,001080"
"67","0,001286"
"68","0,001080"
"69","0,001235"
"70","0,001286"
"71","0,001080"
"72","0,001543"
"73","0,001029"
"74","0,001157"
"75","0,001157"
"76","0,001543"
"77","0,001286"
"78","0,001415"
"79","0,001350"
"80","0,001286"
"81","0,001235"
"82","0,001286"
"83","0,000772"
"84","0,001415"
"85","0,001029"
"86","0,001286"
"87","0,001235"
"88","0,000926"
"89","0,001029"
"90","0,001543"
"91","0,001080"
"92","0,000772"
"93","0,001286"
"94","0,000965"
"95","0,001029"
"96","0,001350"
"97","0,001235"
"98","0,001350"
"99","0,001157"
"100","0,001235"
"101","0,001543"
"102","0,001350"
"103","0,001235"
"104","0,001286"
"105","0,001157"
"106","0,001080"
"107","0,001350"
"108","0,001157"
"109","0,001286"
"110","0,001350"
"111","0,001029"
"112","0,001415"
"113","0,000965"
"114","0,000772"
"115","0,001235"
"116","0,001080"
"117","0,001286"
"118","0,001543"
"119","0,001080"
"120","0,001286"
"121","0,001157"
"122","0,001350"
"123","0,001286"
"124","0,001235"
"125","0,001080"
"126","0,000965"
"127","0,001350"
"128","0,001389"
"129","0,001029"
"130","0,001543"
"131","0,001389"
"132","0,001157"
"133","0,001157"
"134","0,001235"
"135","0,000965"
"136","0,000965"
"137","0,001157"
"138","0,001286"
"139","0,000965"
"140","0,001157"
"141","0,001157"
"142","0,000965"
"143","0,001286"
"144","0,001157"
"145","0,001286"
"146","0,001389"
"147","0,001286"
"148","0,001286"
"149","0,001350"
"150","0,001350"
"151","0,001286"
"152","0,001235"
"153","0,001235"
"154","0,001286"
"155","0,001157"
"156","0,001389"
"157","0,001286"
"158","0,001157"
"159","0,001157"
"160","0,001029"
"161","0,001235"
"162","0,001389"
"163","0,001029"
"164","0,001157"
"165","0,001286"
"166","0,001543"
"167","0,001029"
"168","0,001415"
"169","0,001350"
"170","0,000965"
"171","0,001286"
"172","0,000772"
"173","0,000772"
"174","0,001389"
"175","0,001286"
"176","0,001286"
"177","0,001157"
"178","0,001157"
"179","0,000772"
"180","0,001389"
"181","0,001235"
"182","0,001029"
"183","0,001080"
"184","0,001029"
"185","0,001029"
"186","0,001350"
"187","0,001350"
"188","0,001029"
"189","0,000965"
"190","0,001286"
"191","0,001157"
"192","0,001543"
"193","0,001389"
"194","0,001157"
"195","0,001029"
"196","0,001415"
"197","0,001029"
"198","0,001350"
"199","0,001235"
"200","0,001080"
"201","0,001286"
"202","0,001235"
"203","0,001235"
"204","0,001286"
"205","0,001543"
"206","0,001157"
"207","0,001286"
"208","0,001235"
"209","0,001389"
"210","0,001157"
"211","0,001157"
"212","0,001029"
"213","0,001157"
"214","0,001080"
"215","0,001235"
"216","0,001029"
"217","0,001350"
"218","0,001286"
"219","0,001350"
"220","0,001543"
"221","0,001415"
"222","0,001157"
"223","0,001286"
"224","0,001389"
"225","0,001736"
"226","0,001157"
"227","0,001389"
"228","0,001157"
"229","0,001286"
"230","0,001415"
"231","0,001157"
"232","0,000772"
"233","0,001235"
"234","0,001389"
"235","0,000965"
"236","0,001350"
"237","0,001080"
"238","0,001543"
"239","0,001235"
"240","0,001389"
"241","0,001029"
"242","0,001157"
"243","0,001543"
"244","0,001157"
"245","0,001157"
"246","0,001286"
"247","0,001157"
"248","0,000965"
"249","0,001543"
"250","0,001029"
"251","0,000965"
"252","0,001415"
"253","0,000772"
"254","0,001286"
"255","0,001235"
"256","0,001157"
"257","0,001286"
"258","0,001157"
"259","0,001350"
"260","0,001286"
"261","0,001389"
"262","0,001235"
"263","0,001157"
"264","0,001235"
"265","0,001080"
"266","0,001286"
"267","0,001543"
"268","0,001286"
"269","0,001029"
"270","0,001080"
"271","0,001389"
"272","0,001286"
"273","0,001157"
"274","0,001157"
"275","0,001286"
"276","0,001157"
"277","0,001389"
"278","0,001157"
"279","0,000965"
"280","0,001157"
"281","0,001350"
"282","0,001029"
"283","0,001286"
"284","0,001350"
"285","0,001543"
"286","0,001389"
"287","0,001080"
"288","0,001543"
"289","0,001389"
"290","0,001350"
"291","0,001543"
"292","0,001080"
"293","0,001157"
"294","0,001286"
"295","0,001235"
"296","0,001389"
"297","0,001157"
"298","0,001080"
"299","0,001235"
"300","0,001286"
"301","0,001157"
"302","0,001736"
"303","0,001286"
"304","0,001350"
"305","0,001235"
"306","0,001286"
"307","0,001157"
"308","0,001235"
"309","0,001157"
"310","0,001157"
"311","0,001698"
"312","0,001286"
"313","0,000965"
"314","0,001286"
"315","0,001286"
"316","0,001543"
"317","0,001415"
