"","Kanal 10 Durchschn. (V)"
"1","0,001"
"2","0,001"
"3","0,000"
"4","0,001"
"5","0,001"
"6","0,000"
"7","0,000"
"8","0,000"
"9","0,000"
"10","0,000"
"11","0,000"
"12","0,001"
"13","0,000"
"14","0,001"
"15","0,000"
"16","0,000"
"17","0,000"
"18","0,000"
"19","0,001"
"20","0,001"
"21","0,001"
"22","0,001"
"23","0,000"
"24","0,001"
"25","0,000"
"26","0,001"
"27","0,000"
"28","0,001"
"29","0,000"
"30","0,001"
"31","0,001"
"32","0,000"
"33","0,000"
"34","0,001"
"35","0,001"
"36","0,001"
"37","0,000"
"38","0,001"
"39","0,000"
"40","0,001"
"41","0,000"
"42","0,001"
"43","0,000"
"44","0,001"
"45","0,001"
"46","0,001"
"47","0,000"
"48","0,001"
"49","0,001"
"50","0,000"
"51","0,000"
"52","0,000"
"53","0,000"
"54","0,001"
"55","0,000"
"56","0,000"
"57","0,001"
"58","0,001"
"59","0,001"
"60","0,001"
"61","0,001"
"62","0,001"
"63","0,001"
"64","0,000"
"65","0,000"
"66","0,000"
"67","0,000"
"68","0,001"
"69","0,000"
"70","0,000"
"71","0,000"
"72","0,001"
"73","0,000"
"74","0,001"
"75","0,000"
"76","0,001"
"77","0,001"
"78","0,001"
"79","0,001"
"80","0,000"
"81","0,001"
"82","0,001"
"83","0,001"
"84","0,001"
"85","0,001"
"86","0,001"
"87","0,000"
"88","0,001"
"89","0,000"
"90","0,000"
"91","0,001"
"92","0,001"
"93","0,000"
"94","0,000"
"95","0,000"
"96","0,000"
"97","0,000"
"98","0,001"
"99","0,000"
"100","0,000"
"101","0,000"
"102","0,000"
"103","0,000"
"104","0,001"
"105","0,000"
"106","0,000"
"107","0,000"
"108","0,001"
"109","0,000"
"110","0,001"
"111","0,000"
"112","0,000"
"113","0,000"
"114","0,001"
"115","0,000"
"116","0,000"
"117","0,001"
"118","0,000"
"119","0,001"
"120","0,000"
"121","0,000"
"122","0,000"
"123","0,000"
"124","0,001"
"125","0,000"
"126","0,000"
"127","0,001"
"128","0,000"
"129","0,000"
"130","0,001"
"131","0,001"
"132","0,001"
"133","0,000"
"134","0,000"
"135","0,000"
"136","0,000"
"137","0,000"
"138","0,000"
"139","0,000"
"140","0,001"
"141","0,000"
"142","0,001"
"143","0,001"
"144","0,000"
"145","0,000"
"146","0,001"
"147","0,000"
"148","0,000"
"149","0,000"
"150","0,001"
"151","0,000"
"152","0,001"
"153","0,001"
"154","0,000"
"155","0,000"
"156","0,000"
"157","0,001"
"158","0,001"
"159","0,000"
"160","0,001"
"161","0,000"
"162","0,001"
"163","0,000"
"164","0,001"
"165","0,000"
"166","0,001"
"167","0,001"
"168","0,001"
"169","0,001"
"170","0,000"
"171","0,001"
"172","0,000"
"173","0,000"
"174","0,000"
"175","0,001"
"176","0,001"
"177","0,001"
"178","0,001"
"179","0,000"
"180","0,000"
"181","0,001"
"182","0,001"
"183","0,000"
"184","0,001"
"185","0,001"
"186","0,000"
"187","0,000"
"188","0,000"
"189","0,000"
"190","0,001"
"191","0,000"
"192","0,000"
"193","0,000"
"194","0,001"
"195","0,000"
"196","0,000"
"197","0,001"
"198","0,001"
"199","0,000"
"200","0,001"
"201","0,001"
"202","0,000"
"203","0,000"
"204","0,000"
"205","0,000"
"206","0,000"
"207","0,001"
"208","0,000"
"209","0,001"
"210","0,001"
"211","0,000"
"212","0,001"
"213","0,000"
"214","0,001"
"215","0,000"
"216","0,001"
"217","0,000"
"218","0,000"
"219","0,000"
"220","0,001"
"221","0,001"
"222","0,001"
"223","0,000"
"224","0,001"
"225","0,000"
"226","0,001"
"227","0,001"
"228","0,001"
"229","0,001"
"230","0,000"
"231","0,000"
"232","0,000"
"233","0,000"
"234","0,001"
"235","0,001"
"236","0,000"
"237","0,000"
"238","0,000"
"239","0,001"
"240","0,000"
"241","0,001"
"242","0,000"
"243","0,001"
"244","0,000"
"245","0,000"
"246","0,001"
"247","0,000"
"248","0,000"
"249","0,001"
"250","0,001"
"251","0,000"
"252","0,001"
"253","0,001"
"254","0,000"
"255","0,000"
"256","0,000"
"257","0,000"
"258","0,001"
"259","0,000"
"260","0,000"
"261","0,001"
"262","0,001"
"263","0,001"
"264","0,001"
"265","0,000"
"266","0,000"
"267","0,000"
"268","0,000"
"269","0,000"
"270","0,000"
"271","0,000"
"272","0,000"
"273","0,000"
"274","0,001"
"275","0,000"
"276","0,001"
"277","0,001"
"278","0,000"
"279","0,000"
"280","0,001"
"281","0,001"
"282","0,000"
"283","0,001"
"284","0,001"
"285","0,000"
"286","0,001"
"287","0,001"
"288","0,001"
"289","0,001"
"290","0,001"
"291","0,000"
"292","0,000"
"293","0,001"
"294","0,000"
"295","0,001"
"296","0,000"
"297","0,000"
"298","0,000"
"299","0,000"
"300","0,000"
"301","0,000"
"302","0,001"
"303","0,000"
"304","0,001"
"305","0,001"
"306","0,000"
"307","0,001"
"308","0,001"
"309","0,001"
"310","0,000"
"311","0,000"
"312","0,000"
"313","0,000"
"314","0,001"
"315","0,001"
"316","0,001"
"317","0,000"
"318","0,001"
"319","0,001"
"320","0,001"
"321","0,001"
"322","0,001"
"323","0,000"
"324","0,001"
"325","0,001"
"326","0,001"
"327","0,001"
"328","0,000"
"329","0,001"
"330","0,000"
"331","0,001"
"332","0,000"
"333","0,000"
"334","0,001"
"335","0,001"
"336","0,000"
"337","0,001"
"338","0,001"
"339","0,000"
"340","0,001"
"341","0,001"
"342","0,000"
"343","0,000"
"344","0,001"
"345","0,001"
"346","0,000"
"347","0,000"
"348","0,001"
"349","0,000"
"350","0,001"
"351","0,000"
"352","0,001"
"353","0,001"
"354","0,001"
"355","0,000"
"356","0,000"
"357","0,001"
"358","0,000"
"359","0,000"
"360","0,001"
"361","0,000"
"362","0,000"
"363","0,001"
"364","0,001"
"365","0,001"
"366","0,001"
"367","0,000"
"368","0,001"
"369","0,000"
"370","0,001"
"371","0,001"
"372","0,000"
"373","0,001"
"374","0,000"
"375","0,000"
"376","0,000"
"377","0,000"
"378","0,000"
"379","0,000"
"380","0,001"
"381","0,001"
"382","0,001"
"383","0,001"
"384","0,001"
"385","0,001"
"386","0,001"
"387","0,000"
"388","0,001"
"389","0,000"
"390","0,000"
"391","0,001"
"392","0,001"
"393","0,001"
"394","0,001"
"395","0,000"
"396","0,000"
"397","0,000"
"398","0,001"
"399","0,000"
"400","0,000"
"401","0,000"
"402","0,000"
"403","0,000"
"404","0,001"
"405","0,001"
"406","0,000"
"407","0,000"
"408","0,001"
"409","0,001"
"410","0,000"
"411","0,001"
"412","0,001"
"413","0,001"
"414","0,000"
"415","0,000"
"416","0,000"
"417","0,000"
"418","0,001"
"419","0,000"
"420","0,001"
"421","0,001"
"422","0,000"
"423","0,001"
"424","0,000"
"425","0,001"
"426","0,001"
"427","0,000"
"428","0,000"
"429","0,000"
"430","0,000"
"431","0,000"
"432","0,000"
"433","0,001"
"434","0,000"
