"","Kanal 1 Durchschn. (V)"
"1","0,001157"
"2","0,001389"
"3","0,001080"
"4","0,001543"
"5","0,001389"
"6","0,001080"
"7","0,001543"
"8","0,001157"
"9","0,001157"
"10","0,001350"
"11","0,001350"
"12","0,001286"
"13","0,001286"
"14","0,001350"
"15","0,001543"
"16","0,001157"
"17","0,001800"
"18","0,001286"
"19","0,001235"
"20","0,001350"
"21","0,001543"
"22","0,001029"
"23","0,001543"
"24","0,001350"
"25","0,001235"
"26","0,001157"
"27","0,001350"
"28","0,001415"
"29","0,001543"
"30","0,001286"
"31","0,001286"
"32","0,001235"
"33","0,001543"
"34","0,001235"
"35","0,001235"
"36","0,001543"
"37","0,001543"
"38","0,001235"
"39","0,001543"
"40","0,001286"
"41","0,001286"
"42","0,001029"
"43","0,001157"
"44","0,001698"
"45","0,001080"
"46","0,001543"
"47","0,001543"
"48","0,001350"
"49","0,001543"
"50","0,001389"
"51","0,001157"
"52","0,001543"
"53","0,001286"
"54","0,001543"
"55","0,001286"
"56","0,001286"
"57","0,001286"
"58","0,001029"
"59","0,001157"
"60","0,001389"
"61","0,001543"
"62","0,001157"
"63","0,001389"
"64","0,001543"
"65","0,001029"
"66","0,001080"
"67","0,001415"
"68","0,001286"
"69","0,000965"
"70","0,001157"
"71","0,001350"
"72","0,001157"
"73","0,001543"
"74","0,001157"
"75","0,001286"
"76","0,001286"
"77","0,000965"
"78","0,001350"
"79","0,001157"
"80","0,001235"
"81","0,001543"
"82","0,001157"
"83","0,001080"
"84","0,001350"
"85","0,001543"
"86","0,001235"
"87","0,001543"
"88","0,001157"
"89","0,001389"
"90","0,001235"
"91","0,001800"
"92","0,001235"
"93","0,001350"
"94","0,001157"
"95","0,001543"
"96","0,001389"
"97","0,001543"
"98","0,001080"
"99","0,001080"
"100","0,001350"
"101","0,001286"
"102","0,001543"
"103","0,001543"
"104","0,001800"
"105","0,001389"
"106","0,001080"
"107","0,001286"
"108","0,001389"
"109","0,001543"
"110","0,001286"
"111","0,001543"
"112","0,001286"
"113","0,001286"
"114","0,001543"
"115","0,001286"
"116","0,001286"
"117","0,001543"
"118","0,001080"
"119","0,001286"
"120","0,001286"
"121","0,001157"
"122","0,001157"
"123","0,001157"
"124","0,001543"
"125","0,001350"
"126","0,001286"
"127","0,001235"
"128","0,001543"
"129","0,001350"
"130","0,000965"
"131","0,001415"
"132","0,000965"
"133","0,001350"
"134","0,001543"
"135","0,001157"
"136","0,001029"
"137","0,001235"
"138","0,001157"
"139","0,001286"
"140","0,001350"
"141","0,001389"
"142","0,001286"
"143","0,001157"
"144","0,001543"
