Signal Name,cap1_B2.csv (Time Cut)
holding_voltage,2.9830020871209024
unloading_parameter,[-9.47332715e-06  8.25858634e-03 -2.46068322e+00  2.52626193e+02]
max_diff_time,283.79






time,value,derivative
283.79,2.973637,-2.7315000000025043
283.8,2.946322,-2.0370500000018694
283.81,2.932896,-0.8603500000007784
283.82,2.929115,-0.32405000000028394
283.83,2.926415,-0.2275999999997964
283.84000000000003,2.924563,-0.22379999999978395
283.85,2.921939,-0.23535000000021
283.86,2.919856,-0.15815000000014834
283.87,2.918776,-0.12730000000010477
283.88,2.91731,-0.18905000000017935
283.89,2.914995,-0.16975000000002183
283.90000000000003,2.913915,-0.10029999999972006
283.91,2.912989,-0.13120000000012055
283.92,2.911291,-0.1582000000001358
283.93,2.909825,-0.10030000000008954
283.94,2.909285,-0.08875000000011823
283.95,2.90805,-0.13120000000012055
283.96,2.906661,-0.1003000000000327
283.97,2.906044,-0.0616999999999166
283.98,2.905427,-0.10415000000011787
283.99,2.903961,-0.12345000000010486
284.0,2.902958,-0.06945000000004597
284.01,2.902572,-0.08490000000006148
284.02,2.90126,-0.11959999999984916
284.03000000000003,2.90018,-0.08874999999974875
284.04,2.899485,-0.06175000000007458
284.05,2.898945,-0.08485000000010245
284.06,2.897788,-0.10415000000008945
284.07,2.896862,-0.08105000000006157
284.08,2.896167,-0.06944999999990387
284.09000000000003,2.895473,-0.10800000000000409
284.1,2.894007,-0.08100000000007412
284.11,2.893853,-0.023150000000015325
284.12,2.893544,-0.0849000000000899
284.13,2.892155,-0.12730000000010477
284.14,2.890998,-0.06945000000013124
284.15000000000003,2.890766,-0.03860000000000241
284.16,2.890226,-0.10800000000011778
284.17,2.888606,-0.09645000000008963
284.18,2.888297,-0.011599999999987176
284.19,2.888374,-0.05015000000005898
284.2,2.887294,-0.11190000000010514
284.21,2.886136,-0.05790000000021678
284.22,2.886136,-0.04625000000015689
284.23,2.885211,-0.09640000000010218
284.24,2.884208,-0.08490000000006148
284.25,2.883513,-0.05020000000004643
284.26,2.883204,-0.0733000000000743
284.27,2.882047,-0.10029999999989059
284.28000000000003,2.881198,-0.03859999999966135
284.29,2.881275,-0.03470000000001505
284.3,2.880504,-0.10800000000008936
284.31,2.879115,-0.08105000000009
284.32,2.878883,-0.030900000000031014
284.33,2.878497,-0.06559999999973343
284.34000000000003,2.877571,-0.10414999999983365
284.35,2.876414,-0.06555000000008704
284.36,2.87626,-0.03855000000004338
284.37,2.875643,-0.08105000000006157
284.38,2.874639,-0.06560000000004607
284.39,2.874331,-0.030849999999929878
284.40000000000003,2.874022,-0.08105000000011842
284.41,2.87271,-0.10030000000011796
284.42,2.872016,-0.03855000000004338
284.43,2.871939,-0.03475000000003092
284.44,2.871321,-0.09645000000006121
284.45,2.87001,-0.10030000000008954
284.46,2.869315,-0.0386000000001161
284.47,2.869238,-0.057850000000144064
284.48,2.868158,-0.10415000000011787
284.49,2.867155,-0.06175000000007458
284.5,2.866923,-0.030900000000031014
284.51,2.866537,-0.08870000000007394
284.52,2.865149,-0.09255000000010227
284.53000000000003,2.864686,-0.015449999999816555
284.54,2.86484,-0.05015000000005898
284.55,2.863683,-0.11575000000010505
284.56,2.862525,-0.06945000000004597
284.57,2.862294,-0.05015000000005898
284.58,2.861522,-0.10034999999967908
284.59000000000003,2.860287,-0.08099999999961938
284.6,2.859902,-0.011549999999999727
284.61,2.860056,-0.03860000000003083
284.62,2.85913,-0.10805000000010523
284.63,2.857895,-0.06175000000004616
284.64,2.857895,-0.019249999999857437
284.65000000000003,2.85751,-0.0925500000001307
284.66,2.856044,-0.1080500000000768
284.67,2.855349,-0.04245000000000232
284.68,2.855195,-0.04630000000003065
284.69,2.854423,-0.0849000000000899
284.7,2.853497,-0.06170000000008713
284.71,2.853189,-0.03854999999987285
284.72,2.852726,-0.09645000000008963
284.73,2.85126,-0.0733000000000743
284.74,2.85126,-0.023150000000015325
284.75,2.850797,-0.06560000000004607
284.76,2.849948,-0.10035000000007699
284.77,2.84879,-0.05790000000021678
284.78000000000003,2.84879,-0.0270000000001005
284.79,2.84825,-0.08870000000010236
284.8,2.847016,-0.08100000000007412
284.81,2.84663,-0.030900000000002592
284.82,2.846398,-0.06560000000007449
284.83,2.845318,-0.08869999999996026
284.84000000000003,2.844624,-0.06559999999984711
284.85,2.844006,-0.023150000000015325
284.86,2.844161,-0.06940000000005853
284.87,2.842618,-0.0926000000000613
284.88,2.842309,-0.03475000000003092
284.89,2.841923,-0.05784999999977458
284.90000000000003,2.841152,-0.10029999999994743
284.91,2.839917,-0.06560000000007449
284.92,2.83984,-0.019300000000015416
284.93,2.839531,-0.0926000000000613
284.94,2.837988,-0.08875000000006139
284.95,2.837756,-0.011600000000015598
284.96,2.837756,-0.06169999999954712
284.97,2.836522,-0.1156999999997197
284.98,2.835442,-0.05790000000004625
284.99,2.835364,-0.011600000000015598
285.0,2.83521,-0.08870000000010236
285.01,2.83359,-0.09260000000008972
285.02,2.833358,-0.01160000000004402
285.03000000000003,2.833358,-0.05785000000022933
285.04,2.832201,-0.10030000000008954
285.05,2.831352,-0.04630000000003065
285.06,2.831275,-0.04245000000003074
285.07,2.830503,-0.09260000000008972
285.08,2.829423,-0.07715000000004579
285.09000000000003,2.82896,-0.023149999999816373
285.1,2.82896,-0.06560000000007449
285.11,2.827648,-0.09645000000008963
285.12,2.827031,-0.03855000000001496
285.13,2.826877,-0.04630000000003065
285.14,2.826105,-0.10029999999966321
285.15000000000003,2.824871,-0.07714999999959105
285.16,2.824562,-0.027050000000031105
285.17,2.82433,-0.06175000000007458
285.18,2.823327,-0.08870000000007394
285.19,2.822556,-0.04630000000003065
