Signal Name,cap1_A2esr.csv (Time Cut)
holding_voltage,2.986714624560775
unloading_parameter,[-4.06853651e-08  2.22424258e-04 -4.16133212e-01  2.68407355e+02]
max_diff_time,1779.06






time,value,derivative
1779.06,2.987,-0.10000000000007994
1779.07,2.986,-0.1500000000001478
1779.08,2.984,-0.34999999999294573
1779.0900000000001,2.979,-0.2999999999923091
1779.1000000000001,2.978,-0.05000000000003979
1779.1100000000001,2.978,-0.05000000000006821
1779.1200000000001,2.977,-0.05000000000006821
1779.13,2.977,-0.05000000000003979
1779.14,2.976,-0.05000000000003979
1779.15,2.976,0.0
1779.16,2.976,-0.05000000000003979
1779.17,2.975,-0.05000000000003979
1779.18,2.975,-0.05000000000003979
1779.19,2.974,0.0
1779.2,2.975,0.05000000000003979
1779.21,2.975,-0.05000000000003979
1779.22,2.974,-0.05000000000003979
1779.23,2.974,0.0
1779.24,2.974,0.0
1779.25,2.974,-0.05000000000006821
1779.26,2.973,-0.05000000000006821
1779.27,2.973,-0.05000000000003979
1779.28,2.972,0.0
1779.29,2.973,0.05000000000003979
1779.3,2.973,0.0
1779.31,2.973,-0.05000000000003979
1779.32,2.972,-0.05000000000003979
1779.33,2.972,0.0
1779.3400000000001,2.972,0.0
1779.3500000000001,2.972,0.0
1779.3600000000001,2.972,0.0
1779.3700000000001,2.972,-0.05000000000003979
1779.38,2.971,-0.05000000000003979
1779.39,2.971,0.05000000000003979
1779.4,2.972,0.0
1779.41,2.971,-0.05000000000003979
1779.42,2.971,0.0
1779.43,2.971,0.0
1779.44,2.971,0.0
1779.45,2.971,0.0
1779.46,2.971,0.0
1779.47,2.971,-0.05000000000003979
1779.48,2.97,-0.05000000000003979
1779.49,2.97,0.0
1779.5,2.97,0.0
1779.51,2.97,0.0
1779.52,2.97,-0.05000000000003979
1779.53,2.969,-0.05000000000003979
1779.54,2.969,0.0
1779.55,2.969,0.0
1779.56,2.969,0.0
1779.57,2.969,0.0
1779.58,2.969,-0.04999999999833449
1779.5900000000001,2.968,2.2737367544323206e-12
1779.6000000000001,2.969,0.05000000000003979
1779.6100000000001,2.969,0.0
1779.6200000000001,2.969,-0.05000000000003979
1779.63,2.968,-0.05000000000003979
1779.64,2.968,0.0
1779.65,2.968,0.0
1779.66,2.968,0.0
1779.67,2.968,0.0
1779.68,2.968,-0.05000000000003979
1779.69,2.967,-0.05000000000003979
1779.7,2.967,0.05000000000003979
1779.71,2.968,0.0
1779.72,2.967,-0.05000000000003979
1779.73,2.967,0.0
1779.74,2.967,0.0
1779.75,2.967,0.0
1779.76,2.967,0.0
1779.77,2.967,-0.05000000000003979
1779.78,2.966,-0.05000000000003979
1779.79,2.966,0.0
1779.8,2.966,0.05000000000003979
1779.81,2.967,0.0
1779.82,2.966,-0.05000000000003979
1779.83,2.966,-0.04999999999836291
1779.8400000000001,2.965,-0.04999999999836291
1779.8500000000001,2.965,0.0
1779.8600000000001,2.965,0.05000000000006821
1779.8700000000001,2.966,0.0
1779.88,2.965,-0.05000000000006821
1779.89,2.965,0.0
1779.9,2.965,0.0
1779.91,2.965,0.0
1779.92,2.965,0.0
1779.93,2.965,-0.05000000000003979
1779.94,2.964,-0.05000000000003979
1779.95,2.964,0.0
1779.96,2.964,0.05000000000003979
1779.97,2.965,0.0
1779.98,2.964,-0.05000000000003979
1779.99,2.964,0.0
1780.0,2.964,0.0
1780.01,2.964,0.05000000000003979
1780.02,2.965,0.0
1780.03,2.964,-0.10000000000007958
1780.04,2.963,-0.05000000000003979
1780.05,2.963,0.0
1780.06,2.963,0.0
1780.07,2.963,0.0
1780.08,2.963,0.0
1780.0900000000001,2.963,0.0
1780.1000000000001,2.963,0.0
1780.1100000000001,2.963,0.0
1780.1200000000001,2.963,0.0
1780.13,2.963,-0.05000000000003979
1780.14,2.962,-0.05000000000003979
1780.15,2.962,0.0
1780.16,2.962,0.0
1780.17,2.962,0.0
1780.18,2.962,0.0
1780.19,2.962,-0.05000000000006821
1780.2,2.961,-0.05000000000006821
1780.21,2.961,0.05000000000006821
1780.22,2.962,0.05000000000006821
1780.23,2.962,-0.05000000000006821
1780.24,2.961,-0.05000000000006821
1780.25,2.961,0.0
1780.26,2.961,0.0
1780.27,2.961,0.0
1780.28,2.961,0.0
1780.29,2.961,-0.05000000000003979
1780.3,2.96,-0.05000000000003979
1780.31,2.96,0.0
1780.32,2.96,0.05000000000003979
1780.33,2.961,2.2737367544323206e-12
1780.3400000000001,2.96,-0.09999999999894271
1780.3500000000001,2.959,-0.05000000000003979
1780.3600000000001,2.959,0.0
1780.3700000000001,2.959,0.05000000000003979
1780.38,2.96,0.05000000000003979
1780.39,2.96,-0.05000000000003979
1780.4,2.959,-0.05000000000003979
1780.41,2.959,0.05000000000003979
1780.42,2.96,0.05000000000003979
1780.43,2.96,-0.05000000000003979
1780.44,2.959,-0.05000000000003979
1780.45,2.959,-0.05000000000003979
1780.46,2.958,0.0
1780.47,2.959,0.05000000000003979
1780.48,2.959,-0.05000000000003979
1780.49,2.958,-0.05000000000003979
1780.5,2.958,0.0
1780.51,2.958,0.0
1780.52,2.958,0.0
1780.53,2.958,0.0
1780.54,2.958,0.0
1780.55,2.958,-0.05000000000006821
1780.56,2.957,-0.05000000000006821
1780.57,2.957,0.05000000000006821
1780.58,2.958,0.050000000000636646
1780.5900000000001,2.958,-0.050000000000636646
1780.6000000000001,2.957,-0.05000000000006821
1780.6100000000001,2.957,0.0
1780.6200000000001,2.957,0.0
1780.63,2.957,0.0
1780.64,2.957,0.0
1780.65,2.957,-0.05000000000003979
1780.66,2.956,-0.05000000000003979
1780.67,2.956,0.0
1780.68,2.956,0.0
1780.69,2.956,0.0
1780.7,2.956,0.0
1780.71,2.956,-0.05000000000003979
1780.72,2.955,0.0
1780.73,2.956,0.05000000000003979
1780.74,2.956,0.0
1780.75,2.956,-0.05000000000003979
1780.76,2.955,-0.05000000000003979
1780.77,2.955,0.0
1780.78,2.955,0.0
1780.79,2.955,0.0
1780.8,2.955,-0.05000000000003979
1780.81,2.954,-0.05000000000003979
