"","Kanal 10 Durchschn. (V)"
"1","0,001"
"2","0,001"
"3","0,001"
"4","0,001"
"5","0,000"
"6","0,001"
"7","0,000"
"8","0,001"
"9","0,001"
"10","0,001"
"11","0,000"
"12","0,001"
"13","0,001"
"14","0,001"
"15","0,001"
"16","0,000"
"17","0,001"
"18","0,001"
"19","0,000"
"20","0,001"
"21","0,001"
"22","0,000"
"23","0,001"
"24","0,001"
"25","0,000"
"26","0,001"
"27","0,001"
"28","0,001"
"29","0,001"
"30","0,000"
"31","0,001"
"32","0,001"
"33","0,001"
"34","0,001"
"35","0,000"
"36","0,001"
"37","0,000"
"38","0,001"
"39","0,000"
"40","0,000"
"41","0,000"
"42","0,000"
"43","0,001"
"44","0,000"
"45","0,001"
"46","0,000"
"47","0,000"
"48","0,000"
"49","0,000"
"50","0,001"
"51","0,001"
"52","0,001"
"53","0,001"
"54","0,001"
"55","0,000"
"56","0,000"
"57","0,001"
"58","0,000"
"59","0,000"
"60","0,001"
"61","0,001"
"62","0,000"
"63","0,001"
"64","0,001"
"65","0,000"
"66","0,001"
"67","0,001"
"68","0,001"
"69","0,001"
"70","0,000"
"71","0,000"
"72","0,001"
"73","0,001"
"74","0,000"
"75","0,001"
"76","0,000"
"77","0,000"
"78","0,000"
"79","0,000"
"80","0,001"
"81","0,000"
"82","0,001"
"83","0,000"
"84","0,001"
"85","0,001"
"86","0,001"
"87","0,001"
"88","0,001"
"89","0,000"
"90","0,000"
"91","0,001"
"92","0,000"
"93","0,001"
"94","0,000"
"95","0,000"
"96","0,000"
"97","0,001"
"98","0,001"
"99","0,001"
"100","0,000"
"101","0,001"
"102","0,000"
"103","0,000"
"104","0,001"
"105","0,000"
"106","0,001"
"107","0,000"
"108","0,001"
"109","0,000"
"110","0,001"
"111","0,001"
"112","0,001"
"113","0,000"
"114","0,001"
"115","0,001"
"116","0,000"
"117","0,001"
"118","0,000"
"119","0,001"
"120","0,001"
"121","0,001"
"122","0,001"
"123","0,001"
"124","0,001"
"125","0,001"
"126","0,001"
"127","0,000"
"128","0,001"
"129","0,000"
"130","0,001"
"131","0,001"
"132","0,001"
"133","0,001"
"134","0,001"
"135","0,001"
"136","0,001"
"137","0,001"
"138","0,001"
"139","0,001"
"140","0,000"
"141","0,000"
"142","0,000"
"143","0,001"
"144","0,001"
"145","0,001"
"146","0,001"
"147","0,001"
"148","0,001"
"149","0,001"
"150","0,001"
"151","0,001"
"152","0,000"
"153","0,001"
"154","0,000"
"155","0,000"
"156","0,001"
"157","0,001"
"158","0,000"
"159","0,000"
"160","0,000"
"161","0,001"
"162","0,000"
"163","0,000"
"164","0,001"
"165","0,001"
"166","0,000"
"167","0,001"
"168","0,001"
"169","0,001"
"170","0,001"
"171","0,000"
"172","0,001"
"173","0,000"
"174","0,001"
"175","0,001"
"176","0,000"
"177","0,001"
"178","0,001"
"179","0,001"
"180","0,001"
"181","0,000"
"182","0,001"
"183","0,000"
"184","0,001"
"185","0,000"
"186","0,001"
"187","0,001"
"188","0,001"
"189","0,001"
"190","0,001"
"191","0,000"
"192","0,000"
"193","0,000"
"194","0,001"
"195","0,001"
"196","0,001"
"197","0,000"
"198","0,000"
"199","0,000"
"200","0,001"
"201","0,001"
"202","0,001"
"203","0,001"
"204","0,001"
"205","0,001"
"206","0,001"
"207","0,000"
"208","0,001"
"209","0,001"
"210","0,001"
"211","0,001"
"212","0,000"
"213","0,001"
"214","0,001"
"215","0,000"
"216","0,001"
"217","0,001"
"218","0,001"
"219","0,001"
"220","0,001"
"221","0,001"
"222","0,001"
"223","0,001"
"224","0,000"
"225","0,000"
"226","0,001"
"227","0,000"
"228","0,001"
"229","0,000"
"230","0,001"
"231","0,001"
"232","0,001"
"233","0,001"
"234","0,001"
"235","0,000"
"236","0,001"
"237","0,001"
"238","0,001"
"239","0,001"
"240","0,000"
"241","0,001"
"242","0,001"
"243","0,001"
"244","0,001"
"245","0,001"
"246","0,001"
"247","0,000"
"248","0,001"
"249","0,001"
"250","0,001"
"251","0,001"
"252","0,000"
"253","0,001"
"254","0,001"
"255","0,000"
"256","0,001"
"257","0,001"
"258","0,000"
"259","0,001"
"260","0,001"
"261","0,001"
"262","0,001"
"263","0,001"
"264","0,001"
"265","0,001"
"266","0,001"
"267","0,000"
"268","0,000"
"269","0,001"
"270","0,001"
"271","0,000"
"272","0,001"
"273","0,000"
"274","0,000"
"275","0,001"
"276","0,001"
"277","0,001"
"278","0,000"
"279","0,000"
"280","0,001"
"281","0,001"
"282","0,001"
"283","0,001"
"284","0,001"
"285","0,001"
"286","0,000"
"287","0,000"
"288","0,001"
"289","0,001"
"290","0,001"
"291","0,001"
"292","0,000"
"293","0,001"
"294","0,001"
"295","0,001"
"296","0,001"
"297","0,001"
"298","0,000"
"299","0,000"
"300","0,001"
"301","0,001"
"302","0,001"
"303","0,001"
"304","0,001"
"305","0,000"
"306","0,001"
"307","0,001"
"308","0,000"
"309","0,001"
"310","0,001"
"311","0,000"
"312","0,000"
"313","0,001"
"314","0,000"
"315","0,000"
"316","0,001"
"317","0,001"
"318","0,000"
"319","0,001"
"320","0,001"
"321","0,000"
"322","0,001"
"323","0,001"
"324","0,001"
"325","0,000"
"326","0,001"
"327","0,001"
"328","0,000"
"329","0,000"
"330","0,001"
"331","0,001"
"332","0,001"
"333","0,001"
"334","0,000"
"335","0,001"
"336","0,001"
"337","0,001"
"338","0,001"
"339","0,001"
"340","0,000"
"341","0,001"
"342","0,000"
"343","0,000"
"344","0,000"
"345","0,001"
"346","0,001"
"347","0,001"
"348","0,001"
"349","0,000"
"350","0,001"
"351","0,001"
"352","0,001"
"353","0,001"
"354","0,000"
"355","0,000"
"356","0,001"
"357","0,001"
"358","0,001"
"359","0,000"
"360","0,000"
"361","0,001"
"362","0,000"
"363","0,000"
"364","0,001"
"365","0,001"
"366","0,001"
"367","0,000"
"368","0,001"
"369","0,000"
"370","0,000"
"371","0,000"
"372","0,001"
"373","0,001"
"374","0,001"
"375","0,001"
"376","0,001"
"377","0,001"
"378","0,000"
"379","0,001"
"380","0,001"
"381","0,001"
"382","0,000"
"383","0,000"
"384","0,000"
"385","0,000"
"386","0,001"
"387","0,001"
"388","0,001"
"389","0,000"
"390","0,001"
"391","0,001"
"392","0,001"
"393","0,001"
"394","0,001"
"395","0,001"
"396","0,000"
"397","0,000"
"398","0,001"
"399","0,001"
"400","0,000"
"401","0,001"
"402","0,001"
"403","0,001"
"404","0,000"
"405","0,001"
"406","0,001"
"407","0,001"
"408","0,001"
"409","0,001"
"410","0,001"
"411","0,000"
"412","0,000"
"413","0,000"
"414","0,001"
"415","0,001"
"416","0,001"
"417","0,001"
"418","0,001"
"419","0,001"
"420","0,001"
"421","0,001"
"422","0,001"
"423","0,001"
"424","0,001"
"425","0,001"
"426","0,001"
"427","0,000"
"428","0,001"
"429","0,001"
"430","0,001"
"431","0,001"
"432","0,000"
"433","0,001"
"434","0,001"
