"","Kanal 10 Durchschn. (V)"
"1","0,000"
"2","0,001"
"3","0,001"
"4","0,000"
"5","0,001"
"6","0,001"
"7","0,001"
"8","0,000"
"9","0,001"
"10","0,000"
"11","0,001"
"12","0,001"
"13","0,001"
"14","0,000"
"15","0,000"
"16","0,000"
"17","0,000"
"18","0,000"
"19","0,001"
"20","0,000"
"21","0,001"
"22","0,001"
"23","0,000"
"24","0,001"
"25","0,001"
"26","0,000"
"27","0,001"
"28","0,000"
"29","0,000"
"30","0,000"
"31","0,000"
"32","0,001"
"33","0,000"
"34","0,001"
"35","0,000"
"36","0,000"
"37","0,001"
"38","0,000"
"39","0,001"
"40","0,001"
"41","0,000"
"42","0,000"
"43","0,001"
"44","0,001"
"45","0,001"
"46","0,000"
"47","0,000"
"48","0,001"
"49","0,000"
"50","0,001"
"51","0,000"
"52","0,001"
"53","0,001"
"54","0,001"
"55","0,000"
"56","0,001"
"57","0,000"
"58","0,001"
"59","0,001"
"60","0,001"
"61","0,000"
"62","0,000"
"63","0,001"
"64","0,001"
"65","0,001"
"66","0,000"
"67","0,001"
"68","0,001"
"69","0,001"
"70","0,000"
"71","0,001"
"72","0,000"
"73","0,001"
"74","0,001"
"75","0,000"
"76","0,000"
"77","0,000"
"78","0,001"
"79","0,000"
"80","0,000"
"81","0,001"
"82","0,001"
"83","0,001"
"84","0,001"
"85","0,000"
"86","0,000"
"87","0,000"
"88","0,000"
"89","0,000"
"90","0,000"
"91","0,001"
"92","0,001"
"93","0,000"
"94","0,000"
"95","0,001"
"96","0,001"
"97","0,001"
"98","0,001"
"99","0,000"
"100","0,001"
"101","0,001"
"102","0,000"
"103","0,001"
"104","0,001"
"105","0,001"
"106","0,000"
"107","0,000"
"108","0,000"
"109","0,001"
"110","0,000"
"111","0,001"
"112","0,001"
"113","0,000"
"114","0,001"
"115","0,001"
"116","0,001"
"117","0,000"
"118","0,000"
"119","0,001"
"120","0,001"
"121","0,001"
"122","0,001"
"123","0,000"
"124","0,000"
"125","0,000"
"126","0,000"
"127","0,000"
"128","0,000"
"129","0,001"
"130","0,001"
"131","0,001"
"132","0,001"
"133","0,000"
"134","0,000"
"135","0,000"
"136","0,000"
"137","0,001"
"138","0,001"
"139","0,001"
"140","0,001"
"141","0,001"
"142","0,001"
"143","0,000"
"144","0,000"
"145","0,000"
"146","0,000"
"147","0,001"
"148","0,000"
"149","0,000"
"150","0,000"
"151","0,000"
"152","0,000"
"153","0,001"
"154","0,001"
"155","0,000"
"156","0,000"
"157","0,001"
"158","0,001"
"159","0,001"
"160","0,000"
"161","0,000"
"162","0,001"
"163","0,000"
"164","0,001"
"165","0,001"
"166","0,000"
"167","0,000"
"168","0,001"
"169","0,001"
"170","0,001"
"171","0,000"
"172","0,001"
"173","0,000"
"174","0,000"
"175","0,001"
"176","0,001"
"177","0,001"
"178","0,000"
"179","0,001"
"180","0,000"
"181","0,001"
"182","0,001"
"183","0,000"
"184","0,001"
"185","0,001"
"186","0,001"
"187","0,000"
"188","0,000"
"189","0,000"
"190","0,001"
"191","0,000"
"192","0,000"
"193","0,000"
"194","0,000"
"195","0,000"
"196","0,000"
"197","0,000"
"198","0,000"
"199","0,001"
"200","0,001"
"201","0,000"
"202","0,001"
"203","0,000"
"204","0,000"
"205","0,000"
"206","0,000"
"207","0,001"
"208","0,001"
"209","0,001"
"210","0,001"
"211","0,001"
"212","0,000"
"213","0,001"
"214","0,000"
"215","0,000"
"216","0,000"
"217","0,001"
"218","0,000"
"219","0,001"
"220","0,001"
"221","0,000"
"222","0,001"
"223","0,001"
"224","0,001"
"225","0,001"
"226","0,001"
"227","0,001"
"228","0,000"
"229","0,001"
"230","0,001"
"231","0,000"
"232","0,001"
"233","0,001"
"234","0,001"
"235","0,001"
"236","0,001"
"237","0,001"
"238","0,001"
"239","0,001"
"240","0,001"
"241","0,000"
"242","0,000"
"243","0,001"
"244","0,001"
"245","0,001"
"246","0,001"
"247","0,000"
"248","0,001"
"249","0,000"
"250","0,001"
"251","0,000"
"252","0,000"
"253","0,001"
"254","0,000"
"255","0,001"
"256","0,001"
"257","0,000"
"258","0,000"
"259","0,001"
"260","0,000"
"261","0,001"
"262","0,000"
"263","0,001"
"264","0,001"
"265","0,000"
"266","0,000"
"267","0,001"
"268","0,001"
"269","0,000"
"270","0,001"
"271","0,001"
"272","0,001"
"273","0,000"
"274","0,001"
"275","0,000"
"276","0,000"
"277","0,001"
"278","0,000"
"279","0,001"
"280","0,001"
"281","0,000"
"282","0,001"
"283","0,001"
"284","0,000"
"285","0,001"
"286","0,000"
"287","0,001"
"288","0,001"
"289","0,001"
"290","0,001"
"291","0,001"
"292","0,000"
"293","0,001"
"294","0,000"
"295","0,000"
"296","0,001"
"297","0,001"
"298","0,000"
"299","0,001"
"300","0,001"
"301","0,000"
"302","0,000"
"303","0,001"
"304","0,001"
"305","0,000"
"306","0,000"
"307","0,001"
"308","0,001"
"309","0,001"
"310","0,001"
"311","0,000"
"312","0,000"
"313","0,001"
"314","0,001"
"315","0,000"
"316","0,001"
"317","0,001"
"318","0,000"
"319","0,000"
"320","0,001"
"321","0,000"
"322","0,001"
"323","0,001"
"324","0,001"
"325","0,001"
"326","0,000"
"327","0,000"
"328","0,001"
"329","0,001"
"330","0,001"
"331","0,001"
"332","0,000"
"333","0,000"
"334","0,000"
"335","0,001"
"336","0,001"
"337","0,000"
"338","0,001"
"339","0,001"
"340","0,001"
"341","0,001"
"342","0,000"
"343","0,001"
"344","0,000"
"345","0,000"
"346","0,001"
"347","0,001"
"348","0,000"
"349","0,000"
"350","0,001"
"351","0,000"
"352","0,001"
"353","0,000"
"354","0,001"
"355","0,000"
"356","0,000"
"357","0,000"
"358","0,001"
"359","0,001"
"360","0,001"
"361","0,000"
"362","0,001"
"363","0,001"
"364","0,001"
"365","0,001"
"366","0,001"
"367","0,000"
"368","0,000"
"369","0,000"
"370","0,001"
"371","0,000"
"372","0,000"
"373","0,000"
"374","0,001"
"375","0,000"
"376","0,001"
"377","0,000"
"378","0,001"
"379","0,000"
"380","0,000"
"381","0,000"
"382","0,001"
"383","0,000"
"384","0,000"
"385","0,000"
"386","0,001"
"387","0,000"
"388","0,000"
"389","0,001"
"390","0,001"
"391","0,001"
"392","0,000"
"393","0,001"
"394","0,000"
"395","0,000"
"396","0,000"
"397","0,000"
"398","0,000"
"399","0,001"
"400","0,001"
"401","0,000"
"402","0,000"
"403","0,000"
"404","0,000"
"405","0,000"
"406","0,001"
"407","0,001"
"408","0,001"
"409","0,001"
"410","0,000"
"411","0,001"
"412","0,001"
"413","0,001"
"414","0,000"
"415","0,001"
"416","0,001"
"417","0,001"
"418","0,001"
"419","0,001"
"420","0,001"
"421","0,000"
"422","0,000"
"423","0,000"
"424","0,001"
"425","0,001"
"426","0,000"
"427","0,000"
"428","0,000"
"429","0,001"
"430","0,001"
"431","0,000"
"432","0,001"
"433","0,000"
"434","0,000"
"435","0,000"
"436","0,001"
"437","0,000"
"438","0,000"
"439","0,001"
"440","0,000"
"441","0,001"
"442","0,000"
"443","0,001"
"444","0,001"
"445","0,000"
"446","0,000"
"447","0,000"
"448","0,001"
"449","0,000"
"450","0,001"
"451","0,000"
"452","0,001"
"453","0,001"
"454","0,001"
"455","0,001"
"456","0,001"
"457","0,000"
"458","0,001"
"459","0,000"
"460","0,000"
"461","0,000"
"462","0,000"
"463","0,000"
"464","0,000"
"465","0,000"
"466","0,001"
"467","0,000"
"468","0,001"
"469","0,001"
"470","0,001"
"471","0,001"
"472","0,001"
"473","0,000"
"474","0,001"
"475","0,001"
"476","0,001"
"477","0,001"
"478","0,000"
"479","0,001"
"480","0,001"
"481","0,000"
"482","0,001"
"483","0,001"
"484","0,000"
"485","0,000"
"486","0,000"
"487","0,000"
"488","0,000"
"489","0,001"
"490","0,000"
"491","0,001"
"492","0,001"
"493","0,001"
"494","0,000"
"495","0,000"
"496","0,001"
"497","0,001"
"498","0,000"
"499","0,001"
"500","0,000"
"501","0,001"
"502","0,001"
"503","0,000"
"504","0,001"
"505","0,001"
"506","0,001"
"507","0,001"
"508","0,001"
"509","0,000"
"510","0,000"
"511","0,001"
"512","0,001"
"513","0,000"
"514","0,000"
"515","0,000"
"516","0,000"
"517","0,001"
"518","0,001"
"519","0,000"
"520","0,001"
"521","0,001"
"522","0,001"
"523","0,001"
"524","0,001"
"525","0,001"
"526","0,000"
"527","0,001"
"528","0,001"
"529","0,000"
"530","0,001"
"531","0,000"
"532","0,000"
"533","0,000"
"534","0,001"
"535","0,001"
"536","0,001"
"537","0,000"
"538","0,000"
"539","0,001"
"540","0,001"
"541","0,001"
"542","0,000"
"543","0,001"
"544","0,001"
"545","0,000"
"546","0,001"
"547","0,000"
"548","0,001"
"549","0,000"
"550","0,001"
"551","0,001"
"552","0,001"
"553","0,000"
"554","0,000"
"555","0,001"
"556","0,000"
"557","0,000"
"558","0,001"
"559","0,001"
"560","0,001"
"561","0,000"
"562","0,000"
"563","0,000"
"564","0,000"
"565","0,001"
"566","0,001"
"567","0,001"
"568","0,001"
"569","0,001"
"570","0,001"
"571","0,000"
"572","0,001"
"573","0,000"
"574","0,000"
"575","0,001"
"576","0,000"
"577","0,000"
"578","0,000"
"579","0,001"
"580","0,000"
"581","0,001"
"582","0,001"
"583","0,000"
"584","0,001"
"585","0,000"
"586","0,001"
"587","0,001"
"588","0,001"
"589","0,000"
"590","0,000"
"591","0,001"
"592","0,001"
"593","0,000"
"594","0,000"
"595","0,001"
"596","0,000"
"597","0,000"
"598","0,000"
"599","0,000"
"600","0,001"
"601","0,000"
"602","0,001"
"603","0,001"
"604","0,000"
"605","0,001"
"606","0,001"
"607","0,001"
"608","0,001"
"609","0,000"
"610","0,001"
"611","0,000"
"612","0,000"
"613","0,001"
"614","0,001"
"615","0,001"
"616","0,001"
"617","0,001"
"618","0,001"
"619","0,000"
"620","0,001"
"621","0,000"
"622","0,000"
"623","0,000"
"624","0,000"
"625","0,000"
"626","0,001"
"627","0,001"
"628","0,001"
"629","0,001"
"630","0,001"
"631","0,000"
"632","0,000"
"633","0,001"
"634","0,001"
"635","0,001"
"636","0,000"
"637","0,001"
"638","0,000"
"639","0,001"
"640","0,001"
"641","0,001"
"642","0,000"
"643","0,000"
"644","0,001"
"645","0,001"
"646","0,001"
"647","0,001"
"648","0,000"
"649","0,000"
"650","0,001"
"651","0,000"
"652","0,000"
"653","0,001"
"654","0,000"
"655","0,000"
"656","0,000"
"657","0,000"
"658","0,000"
"659","0,000"
"660","0,000"
"661","0,000"
"662","0,001"
"663","0,001"
"664","0,001"
"665","0,001"
"666","0,001"
"667","0,001"
"668","0,000"
"669","0,001"
"670","0,001"
"671","0,000"
"672","0,000"
"673","0,000"
"674","0,001"
"675","0,000"
"676","0,000"
"677","0,000"
"678","0,001"
"679","0,000"
"680","0,001"
"681","0,001"
"682","0,001"
"683","0,000"
"684","0,001"
"685","0,000"
"686","0,000"
"687","0,001"
"688","0,001"
"689","0,000"
"690","0,001"
"691","0,000"
"692","0,000"
"693","0,000"
"694","0,000"
"695","0,001"
"696","0,001"
"697","0,001"
"698","0,001"
"699","0,001"
"700","0,000"
"701","0,001"
"702","0,001"
"703","0,000"
"704","0,001"
"705","0,000"
"706","0,001"
"707","0,001"
"708","0,000"
"709","0,001"
"710","0,000"
"711","0,001"
"712","0,000"
"713","0,001"
"714","0,001"
"715","0,000"
"716","0,000"
"717","0,000"
"718","0,001"
"719","0,000"
"720","0,001"
"721","0,000"
"722","0,001"
"723","0,001"
"724","0,000"
"725","0,001"
"726","0,000"
"727","0,001"
"728","0,001"
"729","0,001"
"730","0,001"
"731","0,001"
"732","0,000"
"733","0,001"
"734","0,000"
"735","0,000"
"736","0,001"
"737","0,000"
"738","0,001"
"739","0,000"
"740","0,001"
"741","0,001"
"742","0,001"
"743","0,001"
"744","0,001"
"745","0,000"
"746","0,000"
"747","0,000"
"748","0,000"
"749","0,000"
"750","0,001"
"751","0,000"
"752","0,000"
"753","0,001"
"754","0,001"
"755","0,000"
"756","0,000"
"757","0,001"
"758","0,000"
"759","0,000"
"760","0,001"
"761","0,001"
"762","0,001"
"763","0,001"
"764","0,000"
"765","0,000"
"766","0,000"
"767","0,001"
"768","0,000"
"769","0,000"
"770","0,001"
"771","0,000"
"772","0,000"
"773","0,000"
"774","0,001"
"775","0,000"
"776","0,001"
"777","0,000"
"778","0,001"
"779","0,000"
"780","0,000"
"781","0,000"
"782","0,000"
"783","0,000"
"784","0,001"
"785","0,001"
"786","0,001"
"787","0,000"
"788","0,000"
"789","0,001"
"790","0,000"
"791","0,000"
"792","0,000"
"793","0,001"
"794","0,001"
"795","0,000"
"796","0,001"
"797","0,000"
"798","0,000"
"799","0,001"
"800","0,001"
"801","0,000"
"802","0,001"
"803","0,000"
"804","0,000"
"805","0,000"
"806","0,001"
"807","0,000"
"808","0,001"
"809","0,000"
"810","0,001"
"811","0,000"
"812","0,000"
"813","0,001"
"814","0,001"
"815","0,000"
"816","0,000"
"817","0,000"
"818","0,001"
"819","0,000"
"820","0,000"
"821","0,001"
"822","0,000"
"823","0,000"
"824","0,000"
"825","0,001"
"826","0,000"
"827","0,000"
"828","0,001"
"829","0,000"
"830","0,000"
"831","0,000"
"832","0,000"
"833","0,000"
"834","0,001"
"835","0,000"
"836","0,000"
"837","0,000"
"838","0,000"
"839","0,001"
"840","0,000"
"841","0,000"
"842","0,001"
"843","0,001"
"844","0,000"
"845","0,000"
"846","0,001"
"847","0,000"
"848","0,000"
"849","0,000"
"850","0,000"
"851","0,000"
"852","0,000"
"853","0,001"
"854","0,001"
"855","0,000"
"856","0,000"
"857","0,000"
"858","0,000"
"859","0,001"
"860","0,000"
"861","0,001"
"862","0,001"
"863","0,001"
"864","0,001"
"865","0,000"
"866","0,000"
"867","0,000"
"868","0,000"
"869","0,000"
"870","0,001"
"871","0,000"
"872","0,000"
"873","0,000"
"874","0,000"
"875","0,000"
"876","0,000"
"877","0,001"
"878","0,000"
"879","0,000"
"880","0,000"
"881","0,000"
"882","0,001"
"883","0,000"
"884","0,000"
"885","0,001"
"886","0,001"
"887","0,001"
"888","0,001"
"889","0,001"
"890","0,001"
"891","0,001"
"892","0,000"
"893","0,001"
"894","0,001"
"895","0,001"
"896","0,001"
"897","0,000"
"898","0,000"
"899","0,001"
"900","0,000"
"901","0,000"
"902","0,001"
"903","0,001"
"904","0,000"
"905","0,001"
"906","0,001"
"907","0,001"
"908","0,001"
"909","0,000"
"910","0,001"
"911","0,000"
"912","0,001"
"913","0,000"
"914","0,001"
"915","0,000"
"916","0,001"
"917","0,001"
"918","0,001"
"919","0,001"
"920","0,000"
"921","0,001"
"922","0,001"
"923","0,001"
"924","0,001"
"925","0,001"
"926","0,001"
"927","0,000"
"928","0,001"
"929","0,000"
"930","0,001"
"931","0,001"
"932","0,000"
"933","0,001"
"934","0,001"
"935","0,000"
"936","0,000"
"937","0,001"
"938","0,000"
"939","0,001"
"940","0,000"
"941","0,001"
"942","0,000"
"943","0,001"
"944","0,001"
"945","0,000"
"946","0,000"
"947","0,001"
"948","0,001"
"949","0,000"
"950","0,001"
"951","0,001"
"952","0,000"
"953","0,000"
"954","0,000"
"955","0,000"
"956","0,001"
"957","0,001"
"958","0,000"
"959","0,001"
"960","0,001"
"961","0,001"
"962","0,001"
"963","0,000"
"964","0,000"
"965","0,001"
"966","0,001"
"967","0,001"
"968","0,000"
"969","0,000"
"970","0,000"
"971","0,001"
"972","0,001"
"973","0,001"
"974","0,000"
"975","0,001"
"976","0,000"
"977","0,001"
"978","0,001"
"979","0,001"
"980","0,000"
"981","0,000"
"982","0,000"
"983","0,000"
"984","0,000"
"985","0,000"
"986","0,000"
"987","0,000"
"988","0,000"
"989","0,000"
"990","0,000"
"991","0,000"
"992","0,001"
"993","0,000"
"994","0,001"
"995","0,000"
"996","0,000"
"997","0,001"
"998","0,001"
"999","0,001"
"1000","0,001"
"1001","0,001"
"1002","0,001"
"1003","0,000"
"1004","0,001"
"1005","0,001"
"1006","0,000"
"1007","0,001"
"1008","0,001"
"1009","0,000"
"1010","0,001"
"1011","0,000"
"1012","0,000"
"1013","0,001"
"1014","0,001"
"1015","0,001"
"1016","0,001"
"1017","0,000"
"1018","0,001"
"1019","0,001"
"1020","0,001"
"1021","0,001"
"1022","0,001"
"1023","0,000"
"1024","0,000"
"1025","0,001"
"1026","0,001"
"1027","0,001"
"1028","0,000"
"1029","0,000"
"1030","0,001"
"1031","0,000"
"1032","0,000"
"1033","0,001"
"1034","0,001"
"1035","0,001"
"1036","0,000"
"1037","0,001"
"1038","0,001"
"1039","0,001"
"1040","0,000"
"1041","0,000"
"1042","0,000"
"1043","0,000"
"1044","0,000"
"1045","0,000"
"1046","0,001"
"1047","0,000"
"1048","0,001"
"1049","0,001"
"1050","0,001"
"1051","0,001"
"1052","0,000"
"1053","0,001"
"1054","0,001"
"1055","0,000"
"1056","0,000"
"1057","0,001"
"1058","0,000"
"1059","0,001"
"1060","0,000"
"1061","0,001"
"1062","0,000"
"1063","0,001"
"1064","0,000"
"1065","0,000"
"1066","0,001"
"1067","0,001"
"1068","0,000"
"1069","0,000"
"1070","0,001"
"1071","0,001"
"1072","0,001"
"1073","0,000"
"1074","0,001"
"1075","0,000"
"1076","0,000"
"1077","0,001"
"1078","0,000"
"1079","0,000"
"1080","0,001"
"1081","0,000"
"1082","0,001"
"1083","0,001"
"1084","0,001"
"1085","0,001"
"1086","0,000"
"1087","0,001"
"1088","0,001"
"1089","0,000"
"1090","0,001"
"1091","0,000"
"1092","0,000"
"1093","0,001"
"1094","0,001"
"1095","0,000"
"1096","0,001"
"1097","0,000"
"1098","0,001"
"1099","0,000"
"1100","0,001"
"1101","0,001"
"1102","0,000"
"1103","0,001"
"1104","0,000"
"1105","0,000"
"1106","0,001"
"1107","0,000"
"1108","0,000"
"1109","0,001"
"1110","0,000"
"1111","0,000"
"1112","0,001"
"1113","0,000"
"1114","0,000"
"1115","0,001"
"1116","0,000"
"1117","0,000"
"1118","0,000"
"1119","0,001"
"1120","0,001"
"1121","0,000"
"1122","0,000"
"1123","0,001"
"1124","0,000"
"1125","0,001"
"1126","0,001"
"1127","0,001"
"1128","0,001"
"1129","0,001"
"1130","0,000"
"1131","0,001"
"1132","0,000"
"1133","0,000"
"1134","0,000"
"1135","0,001"
"1136","0,001"
"1137","0,000"
"1138","0,001"
"1139","0,000"
"1140","0,000"
"1141","0,001"
"1142","0,001"
"1143","0,000"
"1144","0,000"
"1145","0,001"
"1146","0,001"
"1147","0,001"
"1148","0,000"
"1149","0,001"
"1150","0,001"
"1151","0,001"
"1152","0,001"
"1153","0,000"
"1154","0,000"
"1155","0,001"
"1156","0,001"
"1157","0,000"
"1158","0,000"
"1159","0,001"
"1160","0,000"
"1161","0,001"
"1162","0,000"
"1163","0,000"
"1164","0,001"
"1165","0,001"
"1166","0,000"
"1167","0,001"
"1168","0,001"
"1169","0,000"
"1170","0,001"
"1171","0,000"
"1172","0,000"
"1173","0,001"
"1174","0,001"
"1175","0,001"
"1176","0,001"
"1177","0,000"
"1178","0,000"
"1179","0,001"
"1180","0,001"
"1181","0,000"
"1182","0,000"
"1183","0,000"
"1184","0,001"
"1185","0,000"
"1186","0,001"
"1187","0,000"
"1188","0,000"
"1189","0,001"
"1190","0,001"
"1191","0,000"
"1192","0,001"
"1193","0,000"
"1194","0,000"
"1195","0,001"
"1196","0,001"
"1197","0,001"
"1198","0,001"
"1199","0,001"
"1200","0,000"
"1201","0,001"
"1202","0,001"
"1203","0,001"
"1204","0,000"
"1205","0,001"
"1206","0,001"
"1207","0,000"
"1208","0,001"
"1209","0,001"
"1210","0,001"
"1211","0,000"
"1212","0,001"
"1213","0,001"
"1214","0,000"
"1215","0,000"
"1216","0,001"
"1217","0,000"
"1218","0,001"
"1219","0,000"
"1220","0,001"
"1221","0,001"
"1222","0,000"
"1223","0,000"
"1224","0,001"
"1225","0,000"
"1226","0,000"
"1227","0,000"
"1228","0,000"
"1229","0,001"
"1230","0,000"
"1231","0,000"
"1232","0,001"
"1233","0,001"
"1234","0,001"
"1235","0,000"
"1236","0,000"
"1237","0,001"
"1238","0,000"
"1239","0,000"
"1240","0,001"
"1241","0,001"
"1242","0,001"
"1243","0,001"
"1244","0,001"
"1245","0,001"
"1246","0,000"
"1247","0,000"
"1248","0,000"
"1249","0,000"
"1250","0,001"
"1251","0,001"
"1252","0,001"
"1253","0,000"
"1254","0,000"
"1255","0,000"
"1256","0,000"
"1257","0,000"
"1258","0,000"
"1259","0,000"
"1260","0,001"
"1261","0,001"
"1262","0,001"
"1263","0,000"
"1264","0,001"
"1265","0,000"
"1266","0,000"
"1267","0,001"
"1268","0,000"
"1269","0,001"
"1270","0,000"
"1271","0,001"
"1272","0,001"
"1273","0,001"
"1274","0,000"
"1275","0,000"
"1276","0,001"
"1277","0,001"
"1278","0,000"
"1279","0,001"
"1280","0,001"
"1281","0,000"
"1282","0,001"
"1283","0,001"
"1284","0,000"
"1285","0,000"
"1286","0,000"
"1287","0,000"
"1288","0,001"
"1289","0,001"
"1290","0,000"
"1291","0,001"
"1292","0,000"
"1293","0,000"
"1294","0,000"
"1295","0,001"
"1296","0,001"
"1297","0,000"
"1298","0,001"
"1299","0,001"
"1300","0,000"
"1301","0,001"
"1302","0,001"
"1303","0,001"
"1304","0,000"
"1305","0,001"
"1306","0,001"
"1307","0,000"
"1308","0,001"
"1309","0,001"
"1310","0,000"
"1311","0,001"
"1312","0,001"
"1313","0,000"
"1314","0,000"
"1315","0,001"
"1316","0,001"
"1317","0,001"
"1318","0,001"
"1319","0,001"
"1320","0,001"
"1321","0,001"
"1322","0,001"
"1323","0,001"
"1324","0,000"
"1325","0,001"
"1326","0,000"
"1327","0,000"
"1328","0,000"
"1329","0,000"
"1330","0,000"
"1331","0,001"
"1332","0,000"
"1333","0,000"
