Signal Name,Original_Signal (Time Cut)
holding_voltage,[2.98781861]
unloading_parameter,[-1.03433029e-05  1.25887127e-02 -5.16966286e+00  7.18423465e+02]
peak_time,397.68
peak_value,2.988
peak_mean,2.9877000000000002
plus_minus_toleranz,0.0005882713779672953
U3,0.0586766099925744


time,value,derivative
397.68,2.988,-0.10000000000007994
397.69,2.987,-0.05000000000003979
397.7,2.987,-1.349999999989734
397.71000000000004,2.96,-1.9999999999921556
397.72,2.947,-0.8500000000007617
397.73,2.943,-0.3500000000003354
397.74,2.94,-0.3000000000002956
397.75,2.937,-0.20000000000018758
397.76,2.936,-0.15000000000011937
397.77,2.934,-0.19999999999961915
397.78000000000003,2.932,-0.19999999999961915
397.79,2.93,-0.1500000000001478
397.8,2.929,-0.100000000000108
397.81,2.928,-0.10000000000007958
397.82,2.927,-0.15000000000011937
397.83,2.925,-0.14999999999997726
397.84000000000003,2.924,-0.09999999999979536
397.85,2.923,-0.10000000000007958
397.86,2.922,-0.100000000000108
397.87,2.921,-0.1500000000001478
397.88,2.919,-0.10000000000007958
397.89,2.919,-0.049999999999613465
397.90000000000003,2.918,-0.09999999999982379
397.91,2.917,-0.100000000000108
397.92,2.916,-0.10000000000007958
397.93,2.915,-0.10000000000007958
397.94,2.914,-0.100000000000108
397.95,2.913,-0.05000000000021032
397.96000000000004,2.913,-0.1000000000003638
397.97,2.911,-0.15000000000011937
397.98,2.91,-0.05000000000003979
397.99,2.91,-0.05000000000006821
398.0,2.909,-0.100000000000108
398.01,2.908,-0.10000000000007958
398.02,2.907,-0.0500000000001819
398.03000000000003,2.907,-0.0500000000001819
398.04,2.906,-0.05000000000003979
398.05,2.906,-0.10000000000007958
398.06,2.904,-0.10000000000007958
398.07,2.904,-0.05000000000003979
398.08,2.903,-0.0500000000001819
398.09000000000003,2.903,-0.0500000000001819
398.1,2.902,-0.100000000000108
398.11,2.901,-0.100000000000108
398.12,2.9,-0.10000000000007958
398.13,2.899,-0.05000000000003979
398.14,2.899,-0.049999999999613465
398.15000000000003,2.898,-0.09999999999982379
398.16,2.897,-0.100000000000108
398.17,2.896,-0.05000000000003979
398.18,2.896,0.0
398.19,2.896,-0.05000000000003979
398.2,2.895,-0.09999999999979536
398.21000000000004,2.894,-0.09999999999982379
398.22,2.893,-0.05000000000006821
398.23,2.893,-0.05000000000003979
398.24,2.892,-0.10000000000007958
398.25,2.891,-0.10000000000007958
398.26,2.89,-0.05000000000003979
398.27,2.89,-0.049999999999641886
398.28000000000003,2.889,-0.049999999999641886
398.29,2.889,-0.05000000000003979
398.3,2.888,-0.10000000000007958
398.31,2.887,-0.10000000000007958
398.32,2.886,-0.05000000000003979
398.33,2.886,-0.049999999999613465
398.34000000000003,2.885,-0.09999999999979536
398.35,2.884,-0.05000000000003979
398.36,2.884,-0.05000000000003979
398.37,2.883,-0.05000000000003979
398.38,2.883,-0.05000000000003979
398.39,2.882,-0.09999999999982379
398.40000000000003,2.881,-0.09999999999982379
398.41,2.88,-0.05000000000003979
398.42,2.88,0.0
398.43,2.88,-0.05000000000003979
398.44,2.879,-0.1500000000001478
398.45,2.877,-0.10000000000039222
398.46000000000004,2.877,0.0
398.47,2.877,0.0
398.48,2.877,-0.10000000000007958
398.49,2.875,-0.15000000000011937
398.5,2.874,-0.05000000000003979
398.51,2.874,0.0
398.52,2.874,-0.049999999999613465
398.53000000000003,2.873,-0.09999999999982379
398.54,2.872,-0.100000000000108
398.55,2.871,-0.05000000000003979
398.56,2.871,-0.05000000000003979
398.57,2.87,-0.05000000000003979
398.58,2.87,-0.09999999999925535
398.59000000000003,2.868,-0.09999999999925535
398.6,2.868,0.0
398.61,2.868,-0.05000000000003979
398.62,2.867,-0.10000000000007958
398.63,2.866,-0.10000000000007958
398.64,2.865,-0.0500000000001819
398.65000000000003,2.865,-0.0500000000001819
398.66,2.864,-0.05000000000003979
398.67,2.864,-0.05000000000003979
398.68,2.863,-0.10000000000007958
398.69,2.862,-0.05000000000003979
398.7,2.862,0.0
398.71000000000004,2.862,-0.10000000000039222
398.72,2.86,-0.100000000000108
398.73,2.86,-0.05000000000003979
398.74,2.859,-0.05000000000003979
398.75,2.859,-0.05000000000003979
398.76,2.858,-0.10000000000007958
398.77,2.857,-0.09999999999982379
398.78000000000003,2.856,-0.049999999999641886
398.79,2.856,0.0
398.8,2.856,-0.05000000000003979
398.81,2.855,-0.10000000000007958
398.82,2.854,-0.10000000000007958
398.83,2.853,-0.0500000000001819
398.84000000000003,2.853,0.0
