"","Kanal 1 Durchschn. (V)"
"1","0,000965"
"2","0,001350"
"3","0,001157"
"4","0,001235"
"5","0,001029"
"6","0,000965"
"7","0,001080"
"8","0,001235"
"9","0,001286"
"10","0,001029"
"11","0,001157"
"12","0,001286"
"13","0,001543"
"14","0,001157"
"15","0,001235"
"16","0,001029"
"17","0,001286"
"18","0,001235"
"19","0,001157"
"20","0,001286"
"21","0,001157"
"22","0,001543"
"23","0,000965"
"24","0,001029"
"25","0,000772"
"26","0,001235"
"27","0,001286"
"28","0,001157"
"29","0,001080"
"30","0,001157"
"31","0,001029"
"32","0,000965"
"33","0,001415"
"34","0,001157"
"35","0,001029"
"36","0,001157"
"37","0,001235"
"38","0,000772"
"39","0,001157"
"40","0,001286"
"41","0,001350"
"42","0,001286"
"43","0,000965"
"44","0,001157"
"45","0,001286"
"46","0,001029"
"47","0,001157"
"48","0,001543"
"49","0,001286"
"50","0,001157"
"51","0,001543"
"52","0,001157"
"53","0,001286"
"54","0,001029"
"55","0,001286"
"56","0,001350"
"57","0,001029"
"58","0,000965"
"59","0,001389"
"60","0,001286"
"61","0,001286"
"62","0,001157"
"63","0,001350"
"64","0,001029"
"65","0,000965"
"66","0,001543"
"67","0,001157"
"68","0,001157"
"69","0,001157"
"70","0,001235"
"71","0,001286"
"72","0,001286"
"73","0,001080"
"74","0,001080"
"75","0,001286"
"76","0,001286"
"77","0,001080"
"78","0,001157"
"79","0,001286"
"80","0,000772"
"81","0,001235"
"82","0,001029"
"83","0,001286"
"84","0,001080"
"85","0,001389"
"86","0,001029"
"87","0,001286"
"88","0,001736"
"89","0,000965"
"90","0,001286"
"91","0,001157"
"92","0,001080"
"93","0,001029"
"94","0,001286"
"95","0,001286"
"96","0,001235"
"97","0,001157"
"98","0,001286"
"99","0,001389"
"100","0,001157"
"101","0,001286"
"102","0,001157"
"103","0,001286"
"104","0,000965"
"105","0,001029"
"106","0,001350"
"107","0,001235"
"108","0,001029"
"109","0,001543"
"110","0,001543"
"111","0,001157"
"112","0,001286"
"113","0,001029"
"114","0,001389"
"115","0,000965"
"116","0,001157"
"117","0,000965"
"118","0,001235"
"119","0,001286"
"120","0,001157"
"121","0,001157"
"122","0,001080"
"123","0,001029"
"124","0,001029"
"125","0,001389"
"126","0,001157"
"127","0,001286"
"128","0,001286"
"129","0,001157"
"130","0,000965"
"131","0,001029"
"132","0,001350"
"133","0,001235"
"134","0,000965"
"135","0,001157"
"136","0,001029"
"137","0,001235"
"138","0,001286"
"139","0,001029"
"140","0,001389"
"141","0,001286"
"142","0,001286"
"143","0,001029"
"144","0,001080"
"145","0,001029"
"146","0,000772"
"147","0,001543"
"148","0,001235"
"149","0,001286"
"150","0,001286"
"151","0,001235"
"152","0,001157"
"153","0,001286"
"154","0,000965"
"155","0,001286"
"156","0,000965"
"157","0,001029"
"158","0,001157"
"159","0,001080"
"160","0,001029"
"161","0,001286"
"162","0,000900"
"163","0,001080"
"164","0,001286"
"165","0,001029"
"166","0,001235"
"167","0,001350"
"168","0,001157"
"169","0,000926"
"170","0,001543"
"171","0,001157"
"172","0,001029"
"173","0,001350"
"174","0,001157"
"175","0,001286"
"176","0,001286"
"177","0,001389"
"178","0,000926"
"179","0,001029"
"180","0,001029"
"181","0,001543"
"182","0,000965"
"183","0,001286"
"184","0,000772"
"185","0,001235"
"186","0,001029"
"187","0,001286"
"188","0,001157"
"189","0,001157"
"190","0,001286"
"191","0,001286"
"192","0,001029"
"193","0,001157"
"194","0,001286"
"195","0,001286"
"196","0,001350"
"197","0,001157"
"198","0,001929"
"199","0,000965"
"200","0,001235"
"201","0,001286"
"202","0,000772"
"203","0,000965"
"204","0,001157"
"205","0,001286"
"206","0,001157"
"207","0,001389"
"208","0,001157"
"209","0,001286"
"210","0,001029"
"211","0,001235"
"212","0,001157"
"213","0,001157"
"214","0,000965"
"215","0,001389"
"216","0,000965"
"217","0,001029"
"218","0,001157"
"219","0,001235"
"220","0,001286"
"221","0,001286"
"222","0,001286"
"223","0,001350"
"224","0,001029"
"225","0,001286"
"226","0,001235"
"227","0,000965"
"228","0,001543"
"229","0,000926"
"230","0,001235"
"231","0,001350"
"232","0,001157"
"233","0,001350"
"234","0,001389"
"235","0,001029"
