"","Kanal 10 Durchschn. (V)"
"1","0,001"
"2","0,002"
"3","0,001"
"4","0,001"
"5","0,001"
"6","0,002"
"7","0,001"
"8","0,001"
"9","0,001"
"10","0,002"
"11","0,002"
"12","0,001"
"13","0,001"
"14","0,001"
"15","0,001"
"16","0,001"
"17","0,001"
"18","0,001"
"19","0,002"
"20","0,001"
"21","0,002"
"22","0,001"
"23","0,001"
"24","0,001"
"25","0,001"
"26","0,002"
"27","0,002"
"28","0,001"
"29","0,001"
"30","0,001"
"31","0,001"
"32","0,001"
"33","0,001"
"34","0,001"
"35","0,001"
"36","0,001"
"37","0,001"
"38","0,001"
"39","0,001"
"40","0,001"
"41","0,002"
"42","0,001"
"43","0,001"
"44","0,001"
"45","0,001"
"46","0,001"
"47","0,001"
"48","0,002"
"49","0,001"
"50","0,002"
"51","0,002"
"52","0,001"
"53","0,002"
"54","0,001"
"55","0,001"
"56","0,002"
"57","0,001"
"58","0,001"
"59","0,001"
"60","0,001"
"61","0,001"
"62","0,001"
"63","0,001"
"64","0,002"
"65","0,001"
"66","0,001"
"67","0,002"
"68","0,002"
"69","0,001"
"70","0,002"
"71","0,001"
"72","0,002"
"73","0,001"
"74","0,001"
"75","0,002"
"76","0,001"
"77","0,001"
"78","0,001"
"79","0,001"
"80","0,001"
"81","0,001"
"82","0,001"
"83","0,001"
"84","0,001"
"85","0,001"
"86","0,001"
"87","0,002"
"88","0,001"
"89","0,001"
"90","0,001"
"91","0,002"
"92","0,001"
"93","0,001"
"94","0,001"
"95","0,001"
"96","0,002"
"97","0,001"
"98","0,001"
"99","0,001"
"100","0,001"
"101","0,001"
"102","0,001"
"103","0,001"
"104","0,001"
"105","0,001"
"106","0,001"
"107","0,002"
"108","0,001"
"109","0,001"
"110","0,001"
"111","0,001"
"112","0,001"
"113","0,001"
"114","0,001"
"115","0,001"
"116","0,001"
"117","0,001"
"118","0,002"
"119","0,001"
"120","0,001"
"121","0,002"
"122","0,001"
"123","0,001"
"124","0,001"
"125","0,002"
"126","0,001"
"127","0,002"
"128","0,002"
