Signal Name,Original_Signal (Time Cut)
holding_voltage,[2.98878759]
unloading_parameter,[-1.02367588e-05  1.14443926e-02 -4.32753935e+00  5.55574726e+02]
peak_time,364.81
peak_value,2.989
peak_mean,2.9886
plus_minus_toleranz,0.0007733744084412561
U3,0.05881573009306873


time,value,derivative
364.81,2.989,-1.3000000000011724
364.82,2.976,-2.050000000001859
364.83,2.948,-1.550000000004104
364.84000000000003,2.945,-0.2499999999992326
364.85,2.943,-0.2500000000002274
364.86,2.94,-0.3000000000002956
364.87,2.937,-0.20000000000018758
364.88,2.936,-0.10000000000007958
364.89,2.935,-0.19999999999905071
364.90000000000003,2.932,-0.19999999999905071
364.91,2.931,-0.10000000000007958
364.92,2.93,-0.100000000000108
364.93,2.929,-0.1500000000001478
364.94,2.927,-0.10000000000007958
364.95,2.927,-0.05000000000003979
364.96,2.926,-0.14999999999940883
364.97,2.924,-0.14999999999940883
364.98,2.923,-0.05000000000003979
364.99,2.923,-0.100000000000108
365.0,2.921,-0.1500000000001478
365.01,2.92,-0.10000000000007958
365.02,2.919,-0.09999999999979536
365.03000000000003,2.918,-0.09999999999982379
365.04,2.917,-0.100000000000108
365.05,2.916,0.05000000000006821
365.06,2.918,-0.05000000000003979
365.07,2.915,-0.2500000000002558
365.08,2.913,-0.10000000000039222
365.09000000000003,2.913,0.0
365.1,2.913,-0.10000000000007958
365.11,2.911,-0.15000000000011937
365.12,2.91,0.0
365.13,2.911,-0.05000000000006821
365.14,2.909,-0.15000000000000568
365.15000000000003,2.908,-0.049999999999613465
365.16,2.908,-0.05000000000003979
365.17,2.907,-0.10000000000007958
365.18,2.906,-0.10000000000007958
365.19,2.905,-0.05000000000003979
365.2,2.905,-0.05000000000003979
365.21,2.904,-0.09999999999979536
365.22,2.903,-0.049999999999613465
365.23,2.903,-0.05000000000003979
365.24,2.902,-0.100000000000108
365.25,2.901,-0.100000000000108
365.26,2.9,-0.05000000000003979
365.27,2.9,-0.049999999999613465
365.28000000000003,2.899,-0.15000000000000568
365.29,2.897,-0.05000000000003979
365.3,2.898,0.0
365.31,2.897,-0.100000000000108
365.32,2.896,-0.10000000000007958
365.33,2.895,-5.684341886080801e-13
365.34000000000003,2.896,-0.05000000000075033
365.35,2.894,-0.1500000000001478
365.36,2.893,-0.05000000000006821
365.37,2.893,0.0
365.38,2.893,-0.10000000000007958
365.39,2.891,-0.14999999999997726
365.40000000000003,2.89,-0.049999999999613465
365.41,2.89,0.0
365.42,2.89,-0.05000000000006821
365.43,2.889,-0.100000000000108
365.44,2.888,-0.05000000000003979
365.45,2.888,-0.05000000000003979
365.46,2.887,-0.09999999999979536
365.47,2.886,-0.049999999999613465
365.48,2.886,-0.05000000000003979
365.49,2.885,-0.10000000000007958
365.5,2.884,-0.10000000000007958
365.51,2.883,0.0
365.52,2.884,-0.04999999999904503
365.53000000000003,2.882,-0.14999999999943725
365.54,2.881,-0.05000000000006821
365.55,2.881,0.0
365.56,2.881,-0.10000000000007958
365.57,2.879,-0.10000000000007958
365.58,2.879,0.0
365.59000000000003,2.879,-0.0500000000001819
365.6,2.878,-0.100000000000108
365.61,2.877,-0.05000000000006821
365.62,2.877,-0.05000000000003979
365.63,2.876,-0.10000000000007958
365.64,2.875,-0.0500000000001819
365.65000000000003,2.875,0.0
365.66,2.875,-0.10000000000007958
365.67,2.873,-0.1500000000001478
365.68,2.872,-0.05000000000006821
365.69,2.872,0.0
365.7,2.872,-0.10000000000007958
365.71,2.87,-0.1000000000003638
365.72,2.87,0.0
365.73,2.87,-0.05000000000003979
365.74,2.869,-0.100000000000108
365.75,2.868,-0.05000000000006821
365.76,2.868,-0.05000000000003979
365.77,2.867,-0.09999999999979536
365.78000000000003,2.866,-0.049999999999613465
365.79,2.866,-0.05000000000003979
365.8,2.865,-0.10000000000007958
365.81,2.864,-0.10000000000007958
365.82,2.863,-0.05000000000003979
365.83,2.863,0.0
365.84000000000003,2.863,-0.1000000000003638
365.85,2.861,-0.10000000000007958
365.86,2.861,0.0
365.87,2.861,-0.100000000000108
365.88,2.859,-0.100000000000108
365.89,2.859,0.0
365.90000000000003,2.859,-0.0500000000001819
365.91,2.858,-0.10000000000007958
365.92,2.857,-0.100000000000108
365.93,2.856,0.0
365.94,2.857,-0.05000000000003979
365.95,2.855,-0.1500000000001478
365.96,2.854,-0.0500000000001819
365.97,2.854,0.0
365.98,2.854,-0.100000000000108
365.99,2.852,-0.100000000000108
366.0,2.852,0.0
366.01,2.852,-0.10000000000007958
366.02,2.85,-0.1000000000003638
366.03000000000003,2.85,0.0
366.04,2.85,-0.05000000000003979
366.05,2.849,-0.100000000000108
366.06,2.848,-0.05000000000006821
366.07,2.848,0.0
366.08,2.848,-0.09999999999922693
366.09000000000003,2.846,-0.14999999999940883
366.1,2.845,-0.05000000000003979
366.11,2.845,0.0
