Signal Name,Original_Signal (Time Cut)
holding_voltage,[2.98733868]
unloading_parameter,[-9.97373224e-06  1.13845537e-02 -4.39390055e+00  5.75533426e+02]
peak_time,373.40000000000003
peak_value,2.988
peak_mean,2.988
plus_minus_toleranz,0.0006318644070618644
U3,0.07145159931127454


time,value,derivative
373.40000000000003,2.988,-4.200000000003802
373.41,2.946,-2.7500000000025295
373.42,2.933,-0.8000000000007503
373.43,2.93,-0.30000000000026716
373.44,2.927,-0.20000000000018758
373.45,2.926,-0.20000000000015916
373.46,2.923,-0.20000000000015916
373.47,2.922,-0.15000000000000568
373.48,2.92,-0.1500000000001478
373.49,2.919,-0.1500000000001478
373.5,2.917,-0.1500000000001478
373.51,2.916,-0.10000000000007958
373.52,2.915,-0.09999999999979536
373.53000000000003,2.914,-0.15000000000000568
373.54,2.912,-0.1500000000001478
373.55,2.911,-0.10000000000007958
373.56,2.91,-0.100000000000108
373.57,2.909,-0.05000000000006821
373.58,2.909,-0.09999999999922693
373.59000000000003,2.907,-0.09999999999922693
373.6,2.907,-0.10000000000007958
373.61,2.905,-0.10000000000007958
373.62,2.905,-0.10000000000007958
373.63,2.903,-0.10000000000007958
373.64,2.903,-0.049999999999613465
373.65000000000003,2.902,5.684341886080801e-13
373.66,2.903,-0.100000000000108
373.67,2.9,-0.1500000000001478
373.68,2.9,-0.10000000000007958
373.69,2.898,-0.10000000000007958
373.7,2.898,0.0
373.71,2.898,-0.09999999999925535
373.72,2.896,-0.09999999999925535
373.73,2.896,-0.05000000000003979
373.74,2.895,-0.05000000000003979
373.75,2.895,-0.100000000000108
373.76,2.893,-0.100000000000108
373.77,2.893,-0.049999999999613465
373.78000000000003,2.892,-0.049999999999613465
373.79,2.892,-0.05000000000003979
373.8,2.891,-0.10000000000007958
373.81,2.89,-0.100000000000108
373.82,2.889,-0.05000000000006821
373.83,2.889,-0.049999999999613465
373.84000000000003,2.888,-0.09999999999979536
373.85,2.887,-0.05000000000003979
373.86,2.887,-0.05000000000003979
373.87,2.886,-0.10000000000007958
373.88,2.885,-0.10000000000007958
373.89,2.884,-0.0500000000001819
373.90000000000003,2.884,-0.0500000000001819
373.91,2.883,-0.05000000000003979
373.92,2.883,-0.100000000000108
373.93,2.881,-0.100000000000108
373.94,2.881,-0.05000000000003979
373.95,2.88,-0.05000000000003979
373.96,2.88,-0.049999999999613465
373.97,2.879,-0.049999999999613465
373.98,2.879,-0.05000000000003979
373.99,2.878,-0.100000000000108
374.0,2.877,-0.100000000000108
374.01,2.876,-0.10000000000007958
374.02,2.875,-0.0500000000001819
374.03000000000003,2.875,-0.0500000000001819
374.04,2.874,-0.05000000000003979
374.05,2.874,-0.05000000000003979
374.06,2.873,-0.05000000000003979
374.07,2.873,-0.100000000000108
374.08,2.871,-0.050000000000778755
374.09000000000003,2.872,-0.05000000000075033
374.1,2.87,-0.10000000000007958
374.11,2.87,-0.05000000000003979
374.12,2.869,-0.05000000000003979
374.13,2.869,-0.05000000000006821
374.14,2.868,-0.09999999999982379
374.15000000000003,2.867,-0.049999999999613465
374.16,2.867,-0.05000000000003979
374.17,2.866,-0.10000000000007958
374.18,2.865,-0.10000000000007958
374.19,2.864,-0.05000000000003979
374.2,2.864,-0.05000000000003979
374.21,2.863,-0.0500000000001819
374.22,2.863,-0.0500000000001819
374.23,2.862,-0.05000000000003979
374.24,2.862,-0.100000000000108
374.25,2.86,-0.05000000000003979
374.26,2.861,-0.05000000000003979
374.27,2.859,-0.10000000000039222
374.28000000000003,2.859,-0.0500000000001819
374.29,2.858,-0.05000000000003979
374.3,2.858,-0.05000000000003979
374.31,2.857,-0.100000000000108
374.32,2.856,-0.05000000000006821
374.33,2.856,-0.049999999999613465
374.34000000000003,2.855,-0.049999999999613465
374.35,2.855,-0.05000000000003979
374.36,2.854,-0.10000000000007958
374.37,2.853,-0.100000000000108
374.38,2.852,-0.05000000000006821
374.39,2.852,-0.049999999999613465
374.40000000000003,2.851,-0.049999999999613465
374.41,2.851,-0.05000000000003979
374.42,2.85,-0.05000000000003979
374.43,2.85,-0.05000000000003979
374.44,2.849,-0.05000000000003979
374.45,2.849,-0.100000000000108
374.46,2.847,-0.10000000000039222
374.47,2.847,-0.0500000000001819
374.48,2.846,-0.10000000000007958
374.49,2.845,-0.05000000000003979
374.5,2.845,-0.05000000000003979
374.51,2.844,-0.05000000000003979
374.52,2.844,-0.049999999999613465
374.53000000000003,2.843,-0.049999999999613465
374.54,2.843,-0.10000000000007958
374.55,2.841,-0.10000000000007958
374.56,2.841,-0.05000000000006821
374.57,2.84,-0.05000000000006821
374.58,2.84,-0.049999999999613465
374.59000000000003,2.839,-0.049999999999613465
374.6,2.839,-0.05000000000003979
374.61,2.838,-0.10000000000007958
