Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9913911890675244
unloading_parameter,[-1.06568175e-05  1.18100528e-02 -4.42532082e+00  5.62723985e+02]
peak_time,361.11
peak_value,2.99
peak_mean,2.9908945615982243
plus_minus_toleranz,0.0010382557488402184
U3,0.07544500011851163


time,value,derivative
361.11,2.99,0.0
361.12,2.99,-0.6000000000005343
361.13,2.978,-1.8500000000016996
361.14,2.953,-1.9999999999989768
361.15000000000003,2.938,-0.9499999999950148
361.16,2.934,-0.3500000000003354
361.17,2.931,-0.3000000000002956
361.18,2.928,-0.2500000000002274
361.19,2.926,-0.20000000000015916
361.2,2.924,-0.20000000000015916
361.21,2.922,-0.19999999999961915
361.22,2.92,-0.14999999999943725
361.23,2.919,-0.1500000000001478
361.24,2.917,-0.1500000000001478
361.25,2.916,-0.15000000000011937
361.26,2.914,-0.1500000000001478
361.27,2.913,-0.14999999999943725
361.28000000000003,2.911,-0.14999999999940883
361.29,2.91,-0.100000000000108
361.3,2.909,-0.100000000000108
361.31,2.908,-0.10000000000007958
361.32,2.907,-0.15000000000011937
361.33,2.905,-0.14999999999997726
361.34000000000003,2.904,-0.09999999999979536
361.35,2.903,-0.10000000000007958
361.36,2.902,-0.100000000000108
361.37,2.901,-0.100000000000108
361.38,2.9,-0.10000000000007958
361.39,2.899,-0.09999999999979536
361.40000000000003,2.898,-0.049999999999613465
361.41,2.898,-0.100000000000108
361.42,2.896,-0.100000000000108
361.43,2.896,-0.05000000000003979
361.44,2.895,-0.10000000000007958
361.45,2.894,-0.100000000000108
361.46,2.893,-0.09999999999982379
361.47,2.892,-0.049999999999613465
361.48,2.892,-0.05000000000003979
361.49,2.891,-0.10000000000007958
361.5,2.89,-0.100000000000108
361.51,2.889,-0.100000000000108
361.52,2.888,-0.09999999999979536
361.53000000000003,2.887,-0.049999999999613465
361.54,2.887,-0.05000000000003979
361.55,2.886,-0.10000000000007958
361.56,2.885,-0.10000000000007958
361.57,2.884,-0.05000000000003979
361.58,2.884,-0.049999999999613465
361.59000000000003,2.883,-0.09999999999979536
361.6,2.882,-0.100000000000108
361.61,2.881,-0.05000000000006821
361.62,2.881,-0.05000000000003979
361.63,2.88,-0.10000000000007958
361.64,2.879,-0.09999999999979536
361.65000000000003,2.878,-0.049999999999613465
361.66,2.878,-0.05000000000006821
361.67,2.877,-0.100000000000108
361.68,2.876,-0.05000000000003979
361.69,2.876,-0.05000000000003979
361.7,2.875,-0.10000000000007958
361.71,2.874,-0.09999999999979536
361.72,2.873,-0.049999999999613465
361.73,2.873,-0.05000000000006821
361.74,2.872,-0.100000000000108
361.75,2.871,-0.05000000000003979
361.76,2.871,-0.05000000000003979
361.77,2.87,-0.09999999999979536
361.78000000000003,2.869,-0.09999999999982379
361.79,2.868,-0.05000000000006821
361.8,2.868,-0.05000000000003979
361.81,2.867,-0.05000000000003979
361.82,2.867,-0.05000000000003979
361.83,2.866,-0.09999999999979536
361.84000000000003,2.865,-0.09999999999979536
361.85,2.864,-0.05000000000003979
361.86,2.864,-0.05000000000003979
361.87,2.863,-0.10000000000007958
361.88,2.862,-0.05000000000003979
361.89,2.862,-0.049999999999613465
361.90000000000003,2.861,-0.09999999999982379
361.91,2.86,-0.05000000000006821
361.92,2.86,-0.05000000000003979
361.93,2.859,-0.10000000000007958
361.94,2.858,-0.05000000000003979
361.95,2.858,-0.05000000000003979
361.96,2.857,-0.0500000000001819
361.97,2.857,-0.05000000000021032
361.98,2.856,-0.100000000000108
361.99,2.855,-0.10000000000007958
362.0,2.854,-0.05000000000003979
362.01,2.854,-0.05000000000003979
362.02,2.853,-0.09999999999982379
362.03000000000003,2.852,-0.049999999999641886
362.04,2.852,-0.05000000000003979
362.05,2.851,-0.05000000000003979
362.06,2.851,-0.05000000000003979
362.07,2.85,-0.10000000000007958
362.08,2.849,-0.0500000000001819
362.09000000000003,2.849,-0.05000000000021032
362.1,2.848,-0.100000000000108
362.11,2.847,-0.05000000000003979
362.12,2.847,-0.05000000000003979
362.13,2.846,-0.10000000000007958
362.14,2.845,-0.0500000000001819
362.15000000000003,2.845,-0.0500000000001819
362.16,2.844,-0.10000000000007958
362.17,2.843,-0.05000000000003979
362.18,2.843,-0.05000000000003979
362.19,2.842,-0.10000000000007958
362.2,2.841,-0.05000000000003979
362.21,2.841,-0.049999999999641886
362.22,2.84,-0.09999999999982379
362.23,2.839,-0.05000000000003979
362.24,2.839,-0.05000000000003979
362.25,2.838,-0.10000000000007958
362.26,2.837,-0.05000000000003979
362.27,2.837,-0.049999999999641886
362.28000000000003,2.836,-0.049999999999641886
362.29,2.836,-0.05000000000003979
362.3,2.835,-0.10000000000007958
362.31,2.834,-0.05000000000003979
362.32,2.834,-0.05000000000003979
362.33,2.833,-0.09999999999982379
362.34000000000003,2.832,-0.049999999999641886
362.35,2.832,-0.05000000000003979
362.36,2.831,-0.10000000000007958
