Signal Name,Original_Signal (Time Cut)
holding_voltage,[3.00498647]
unloading_parameter,[-9.50710400e-06  1.36476005e-02 -6.59143938e+00  1.07328949e+03]
peak_time,471.09000000000003
peak_value,3.006
peak_mean,3.0057
plus_minus_toleranz,0.0012148173408786027
U3,0.06257021140018493


time,value,derivative
471.09000000000003,3.006,-1.7000000000015365
471.1,2.989,-2.1000000000018986
471.11,2.964,-1.4500000000013245
471.12,2.96,-0.30000000000026716
471.13,2.958,-0.20000000000018758
471.14,2.956,-0.24999999999926104
471.15000000000003,2.953,-0.2499999999992326
471.16,2.951,-0.15000000000011937
471.17,2.95,-0.15000000000011937
471.18,2.948,-0.20000000000015916
471.19,2.946,-0.1500000000001478
471.2,2.945,-0.09999999999982379
471.21000000000004,2.944,-0.14999999999997726
471.22,2.942,-0.1500000000001478
471.23,2.941,-0.05000000000006821
471.24,2.941,-0.10000000000007958
471.25,2.939,-0.15000000000011937
471.26,2.938,-0.100000000000108
471.27,2.937,-0.09999999999982379
471.28000000000003,2.936,-0.09999999999979536
471.29,2.935,-0.10000000000007958
471.3,2.934,-0.05000000000003979
471.31,2.934,-0.100000000000108
471.32,2.932,-0.1500000000001478
471.33,2.931,-0.0500000000001819
471.34000000000003,2.931,-0.0500000000001819
471.35,2.93,-0.100000000000108
471.36,2.929,-0.100000000000108
471.37,2.928,-0.05000000000003979
471.38,2.928,-0.10000000000007958
471.39,2.926,-0.1000000000003638
471.40000000000003,2.926,-0.0500000000001819
471.41,2.925,-0.05000000000003979
471.42,2.925,-0.10000000000007958
471.43,2.923,-0.15000000000011937
471.44,2.922,-0.05000000000003979
471.45,2.922,-0.049999999999641886
471.46000000000004,2.921,-0.09999999999982379
471.47,2.92,-0.05000000000003979
471.48,2.92,-0.05000000000003979
471.49,2.919,-0.10000000000007958
471.5,2.918,-0.100000000000108
471.51,2.917,-0.05000000000006821
471.52,2.917,-0.049999999999613465
471.53000000000003,2.916,-0.09999999999979536
471.54,2.915,-0.05000000000003979
471.55,2.915,-0.05000000000003979
471.56,2.914,-0.100000000000108
471.57,2.913,-0.100000000000108
471.58,2.912,-0.0500000000001819
471.59000000000003,2.912,0.0
471.6,2.912,-0.10000000000007958
471.61,2.91,-0.10000000000007958
471.62,2.91,-0.05000000000006821
471.63,2.909,-0.100000000000108
471.64,2.908,-0.0500000000001819
471.65000000000003,2.908,0.0
471.66,2.908,-0.05000000000003979
471.67,2.907,-0.10000000000007958
471.68,2.906,-0.05000000000003979
471.69,2.906,-0.05000000000003979
471.7,2.905,-0.09999999999979536
471.71000000000004,2.904,-0.09999999999979536
471.72,2.903,-0.05000000000003979
471.73,2.903,-0.05000000000003979
471.74,2.902,-0.100000000000108
471.75,2.901,-0.05000000000006821
471.76,2.901,-0.05000000000003979
471.77,2.9,-0.0500000000001819
471.78000000000003,2.9,-0.0500000000001819
471.79,2.899,-0.10000000000007958
471.8,2.898,-0.05000000000003979
471.81,2.898,-0.05000000000006821
471.82,2.897,-0.100000000000108
471.83,2.896,-0.0500000000001819
471.84000000000003,2.896,-0.0500000000001819
471.85,2.895,-0.10000000000007958
471.86,2.894,-0.100000000000108
471.87,2.893,-0.05000000000006821
471.88,2.893,-0.05000000000003979
471.89,2.892,-0.09999999999979536
471.90000000000003,2.891,-0.049999999999613465
471.91,2.891,0.0
471.92,2.891,-0.100000000000108
471.93,2.889,-0.100000000000108
471.94,2.889,0.0
471.95,2.889,-0.049999999999613465
471.96000000000004,2.888,-0.09999999999979536
471.97,2.887,-0.05000000000003979
471.98,2.887,-0.05000000000003979
471.99,2.886,-0.10000000000007958
472.0,2.885,-0.05000000000003979
472.01,2.885,-0.05000000000003979
472.02,2.884,-0.09999999999979536
472.03000000000003,2.883,-0.09999999999979536
472.04,2.882,-0.05000000000003979
472.05,2.882,0.0
472.06,2.882,-0.05000000000006821
472.07,2.881,-0.100000000000108
472.08,2.88,-0.0500000000001819
472.09000000000003,2.88,-0.0500000000001819
472.1,2.879,-0.10000000000007958
472.11,2.878,-0.05000000000003979
472.12,2.878,-0.05000000000006821
472.13,2.877,-0.100000000000108
472.14,2.876,-0.0500000000001819
472.15000000000003,2.876,-0.0500000000001819
472.16,2.875,-0.05000000000003979
472.17,2.875,-0.05000000000003979
472.18,2.874,-0.10000000000007958
472.19,2.873,-0.05000000000003979
472.2,2.873,-0.049999999999641886
472.21000000000004,2.872,-0.09999999999982379
472.22,2.871,-0.05000000000003979
472.23,2.871,-0.05000000000003979
472.24,2.87,-0.10000000000007958
472.25,2.869,-0.05000000000003979
472.26,2.869,0.0
472.27,2.869,-0.09999999999925535
472.28000000000003,2.867,-0.09999999999925535
472.29,2.867,-0.05000000000003979
472.3,2.866,-0.05000000000003979
472.31,2.866,-0.05000000000003979
472.32,2.865,-0.10000000000007958
472.33,2.864,-0.0500000000001819
472.34000000000003,2.864,-0.0500000000001819
472.35,2.863,-0.10000000000007958
472.36,2.862,-0.05000000000003979
472.37,2.862,0.0
472.38,2.862,-0.05000000000003979
472.39,2.861,-0.09999999999982379
472.40000000000003,2.86,-0.049999999999641886
472.41,2.86,-0.05000000000003979
472.42,2.859,-0.10000000000007958
472.43,2.858,-0.05000000000003979
472.44,2.858,-0.05000000000003979
472.45,2.857,-0.09999999999982379
472.46000000000004,2.856,-0.09999999999982379
472.47,2.855,0.0
472.48,2.856,0.0
472.49,2.855,-0.15000000000011937
472.5,2.853,-0.10000000000007958
472.51,2.853,0.0
472.52,2.853,-0.049999999999641886
472.53000000000003,2.852,-0.09999999999982379
472.54,2.851,-0.05000000000003979
472.55,2.851,-0.05000000000003979
472.56,2.85,-0.10000000000007958
472.57,2.849,-0.05000000000003979
472.58,2.849,-0.049999999999641886
472.59000000000003,2.848,-0.049999999999641886
472.6,2.848,-0.10000000000007958
472.61,2.846,-0.10000000000007958
472.62,2.846,0.0
472.63,2.846,-0.05000000000003979
472.64,2.845,-0.09999999999979536
472.65000000000003,2.844,-0.049999999999613465
472.66,2.844,-0.05000000000003979
472.67,2.843,-0.10000000000007958
472.68,2.842,-0.05000000000003979
472.69,2.842,0.0
472.7,2.842,-0.049999999999613465
472.71000000000004,2.841,-0.09999999999982379
472.72,2.84,-0.05000000000006821
472.73,2.84,-0.05000000000003979
472.74,2.839,-0.10000000000007958
472.75,2.838,-0.10000000000007958
472.76,2.837,-0.05000000000003979
472.77,2.837,0.0
472.78000000000003,2.837,-0.10000000000039222
472.79,2.835,-0.100000000000108
472.8,2.835,0.0
472.81,2.835,-0.05000000000003979
472.82,2.834,-0.10000000000007958
472.83,2.833,-0.0500000000001819
472.84000000000003,2.833,-0.05000000000021032
472.85,2.832,-0.100000000000108
472.86,2.831,-0.05000000000003979
472.87,2.831,0.0
472.88,2.831,-0.10000000000007958
472.89,2.829,-0.1000000000003638
472.90000000000003,2.829,-0.05000000000021032
472.91,2.828,-0.05000000000006821
472.92,2.828,-0.05000000000003979
472.93,2.827,-0.10000000000007958
472.94,2.826,-0.05000000000003979
472.95,2.826,-0.049999999999613465
472.96000000000004,2.825,-0.09999999999979536
472.97,2.824,-0.05000000000003979
