Signal Name,Original_Signal (Time Cut)
holding_voltage,[2.98612402]
unloading_parameter,[-4.68153528e-08  3.08291533e-04 -6.87664095e-01  5.21554333e+02]
peak_time,2142.31
peak_value,2.987
peak_mean,2.9870000000000005
plus_minus_toleranz,0.0005507628417153905
U3,0.014696867090526311


time,value,derivative
2142.31,2.987,-0.4999999999890754
2142.32,2.982,-0.29999999999120064
2142.33,2.981,-0.1999999999956401
2142.34,2.978,-0.14999999999329816
2142.35,2.978,-0.049999999997794475
2142.36,2.977,-0.049999999997794475
2142.37,2.977,-0.049999999997766054
2142.38,2.976,-0.049999999997766054
2142.39,2.976,-0.049999999997766054
2142.4,2.975,-0.049999999997766054
2142.41,2.975,0.0
2142.42,2.975,0.0
2142.43,2.975,-0.049999999997766054
2142.44,2.974,-0.049999999997766054
2142.45,2.974,0.0
2142.46,2.974,0.0
2142.4700000000003,2.974,0.0
2142.48,2.974,-0.049999999997794475
2142.4900000000002,2.973,-0.049999999997794475
2142.5,2.973,0.0
2142.51,2.973,0.0
2142.52,2.973,0.0
2142.53,2.973,0.0
2142.54,2.973,-0.049999999997766054
2142.55,2.972,-0.049999999997766054
2142.56,2.972,0.0
2142.57,2.972,0.0
2142.58,2.972,0.0
2142.59,2.972,-0.05000000000231353
2142.6,2.971,-0.05000000000231353
2142.61,2.971,0.0
2142.62,2.971,0.0
2142.63,2.971,0.0
2142.64,2.971,-0.049999999997766054
2142.65,2.97,4.547473508864641e-12
2142.66,2.971,4.547473508864641e-12
2142.67,2.97,-0.049999999997766054
2142.68,2.97,0.0
2142.69,2.97,0.0
2142.7,2.97,0.0
2142.71,2.97,0.0
2142.7200000000003,2.97,0.0
2142.73,2.97,-0.049999999997766054
2142.7400000000002,2.969,-0.049999999997766054
2142.75,2.969,0.0
2142.76,2.969,0.0
2142.77,2.969,0.0
2142.78,2.969,0.0
2142.79,2.969,0.0
2142.8,2.969,-0.05000000000231353
2142.81,2.968,-0.05000000000231353
2142.82,2.968,0.0
2142.83,2.968,0.0
2142.84,2.968,0.0
2142.85,2.968,0.0
2142.86,2.968,0.0
2142.87,2.968,0.0
2142.88,2.968,-0.05000000000231353
2142.89,2.967,-0.05000000000231353
2142.9,2.967,0.0
2142.91,2.967,0.0
2142.92,2.967,0.0
2142.93,2.967,0.0
2142.94,2.967,0.0
2142.95,2.967,0.0
2142.96,2.967,-0.04999999999890292
2142.9700000000003,2.966,-0.049999999997766054
2142.98,2.966,0.0
2142.9900000000002,2.966,0.0
2143.0,2.966,0.0
2143.01,2.966,0.0
2143.02,2.966,-0.049999999997794475
2143.03,2.965,-0.049999999997794475
2143.04,2.965,0.0
2143.05,2.965,0.0
2143.06,2.965,0.0
2143.07,2.965,0.0
2143.08,2.965,0.0
2143.09,2.965,-0.05000000000231353
2143.1,2.964,-4.547473508864641e-12
2143.11,2.965,0.049999999997766054
2143.12,2.965,-0.049999999997766054
2143.13,2.964,-0.049999999997766054
2143.14,2.964,0.0
2143.15,2.964,0.0
2143.16,2.964,0.0
2143.17,2.964,0.0
2143.18,2.964,0.0
2143.19,2.964,-0.05000000000231353
2143.2,2.963,-0.05000000000231353
2143.21,2.963,0.0
2143.2200000000003,2.963,0.0
2143.23,2.963,0.0
2143.2400000000002,2.963,0.0
2143.25,2.963,0.0
2143.26,2.963,0.0
2143.27,2.963,0.0
2143.28,2.963,0.0
2143.29,2.963,-0.049999999997766054
2143.3,2.962,-0.049999999997766054
2143.31,2.962,0.0
2143.32,2.962,0.0
2143.33,2.962,0.0
2143.34,2.962,0.0
2143.35,2.962,0.0
2143.36,2.962,-0.05000000000234195
2143.37,2.961,-0.05000000000234195
2143.38,2.961,0.0
2143.39,2.961,0.0
2143.4,2.961,0.0
2143.41,2.961,0.0
2143.42,2.961,0.0
2143.43,2.961,0.0
2143.44,2.961,-0.05000000000231353
2143.45,2.96,-0.05000000000231353
2143.46,2.96,0.0
2143.4700000000003,2.96,0.0
