Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9877723166652044
unloading_parameter,[-4.34296628e-08  2.43927557e-04 -4.67701134e-01  3.08094499e+02]
peak_time,1826.38
peak_value,2.988
peak_mean,2.987263041065483
plus_minus_toleranz,0.0011850227845909506
U3,0.01490137202716868


time,value,derivative
1826.38,2.988,0.0
1826.39,2.988,-0.20000000000018758
1826.4,2.984,-0.45000000000041496
1826.41,2.979,-0.30000000000026716
1826.42,2.978,-0.100000000000108
1826.43,2.977,-0.05000000000006821
1826.44,2.977,-0.05000000000003979
1826.45,2.976,-0.05000000000003979
1826.46,2.976,0.0
1826.47,2.976,-0.05000000000003979
1826.48,2.975,-0.05000000000003979
1826.49,2.975,0.0
1826.5,2.975,-0.05000000000003979
1826.51,2.974,-0.05000000000003979
1826.52,2.974,0.0
1826.53,2.974,0.0
1826.54,2.974,-0.05000000000006821
1826.55,2.973,-0.05000000000006821
1826.56,2.973,0.0
1826.57,2.973,0.0
1826.58,2.973,-0.04999999999833449
1826.5900000000001,2.972,-0.04999999999833449
1826.6000000000001,2.972,0.0
1826.6100000000001,2.972,0.0
1826.6200000000001,2.972,0.0
1826.63,2.972,0.0
1826.64,2.972,-0.05000000000003979
1826.65,2.971,-0.05000000000003979
1826.66,2.971,0.0
1826.67,2.971,0.0
1826.68,2.971,0.0
1826.69,2.971,0.0
1826.7,2.971,-0.05000000000003979
1826.71,2.97,0.0
1826.72,2.971,0.0
1826.73,2.97,-0.05000000000003979
1826.74,2.97,0.0
1826.75,2.97,0.0
1826.76,2.97,0.0
1826.77,2.97,0.0
1826.78,2.97,0.0
1826.79,2.97,-0.05000000000003979
1826.8,2.969,-0.05000000000003979
1826.81,2.969,0.0
1826.82,2.969,0.0
1826.83,2.969,0.0
1826.8400000000001,2.969,0.0
1826.8500000000001,2.969,-0.05000000000003979
1826.8600000000001,2.968,-0.05000000000003979
1826.8700000000001,2.968,0.0
1826.88,2.968,0.0
1826.89,2.968,0.0
1826.9,2.968,0.0
1826.91,2.968,0.0
1826.92,2.968,-0.05000000000003979
1826.93,2.967,-0.05000000000003979
1826.94,2.967,0.0
1826.95,2.967,0.0
1826.96,2.967,0.0
1826.97,2.967,0.0
1826.98,2.967,0.0
1826.99,2.967,0.0
1827.0,2.967,-0.05000000000003979
1827.01,2.966,-0.05000000000003979
1827.02,2.966,0.0
1827.03,2.966,0.0
1827.04,2.966,0.0
1827.05,2.966,0.0
1827.06,2.966,0.0
1827.07,2.966,0.0
1827.08,2.966,-0.04999999999836291
1827.0900000000001,2.965,2.2737367544323206e-12
1827.1000000000001,2.966,0.0
1827.1100000000001,2.965,-0.05000000000006821
1827.1200000000001,2.965,0.0
1827.13,2.965,0.0
1827.14,2.965,-0.05000000000003979
1827.15,2.964,0.0
1827.16,2.965,0.05000000000003979
1827.17,2.965,-0.05000000000003979
1827.18,2.964,-0.05000000000003979
1827.19,2.964,0.05000000000003979
1827.2,2.965,0.0
1827.21,2.964,-0.05000000000003979
1827.22,2.964,0.0
1827.23,2.964,0.0
1827.24,2.964,-0.05000000000003979
1827.25,2.963,-0.05000000000003979
1827.26,2.963,0.0
1827.27,2.963,0.0
1827.28,2.963,0.0
1827.29,2.963,0.0
1827.3,2.963,0.0
1827.31,2.963,0.0
1827.32,2.963,0.0
1827.33,2.963,0.0
1827.3400000000001,2.963,-0.050000000000608225
1827.3500000000001,2.962,-0.05000000000003979
1827.3600000000001,2.962,0.0
1827.3700000000001,2.962,0.0
1827.38,2.962,0.0
1827.39,2.962,-0.05000000000006821
1827.4,2.961,0.0
1827.41,2.962,0.0
1827.42,2.961,-0.05000000000006821
1827.43,2.961,0.0
1827.44,2.961,0.0
1827.45,2.961,0.0
1827.46,2.961,0.0
1827.47,2.961,0.0
1827.48,2.961,0.0
1827.49,2.961,0.0
