Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9876706729593723
unloading_parameter,[-4.07574520e-08  2.29758926e-04 -4.42671103e-01  2.93425619e+02]
peak_time,1831.66
peak_value,2.988
peak_mean,2.987704772475028
plus_minus_toleranz,0.0013714135043813684
U3,0.010974730339797123


time,value,derivative
1831.66,2.988,-0.10000000000007994
1831.67,2.987,-0.10000000000007958
1831.68,2.986,-0.3500000000003354
1831.69,2.98,-0.3000000000002956
1831.7,2.98,-0.05000000000003979
1831.71,2.979,-0.10000000000007958
1831.72,2.978,0.0
1831.73,2.979,0.0
1831.74,2.978,-0.05000000000003979
1831.75,2.978,-0.05000000000006821
1831.76,2.977,-0.05000000000006821
1831.77,2.977,0.0
1831.78,2.977,-0.05000000000003979
1831.79,2.976,0.0
1831.8,2.977,0.05000000000003979
1831.81,2.977,-0.05000000000003979
1831.82,2.976,-0.05000000000003979
1831.83,2.976,0.0
1831.8400000000001,2.976,0.0
1831.8500000000001,2.976,0.0
1831.8600000000001,2.976,-0.05000000000003979
1831.8700000000001,2.975,-0.05000000000003979
1831.88,2.975,0.0
1831.89,2.975,0.0
1831.9,2.975,-0.05000000000003979
1831.91,2.974,0.0
1831.92,2.975,0.0
1831.93,2.974,-0.05000000000003979
1831.94,2.974,0.0
1831.95,2.974,0.0
1831.96,2.974,0.0
1831.97,2.974,0.0
1831.98,2.974,0.0
1831.99,2.974,0.0
1832.0,2.974,-0.05000000000006821
1832.01,2.973,-0.05000000000006821
1832.02,2.973,0.0
1832.03,2.973,0.0
1832.04,2.973,0.0
1832.05,2.973,-0.05000000000003979
1832.06,2.972,-0.05000000000003979
1832.07,2.972,0.05000000000003979
1832.08,2.973,2.2737367544323206e-12
1832.0900000000001,2.972,-0.04999999999833449
1832.1000000000001,2.972,0.0
1832.1100000000001,2.972,0.0
1832.1200000000001,2.972,-0.05000000000003979
1832.13,2.971,0.0
1832.14,2.972,0.05000000000003979
1832.15,2.972,-0.05000000000003979
1832.16,2.971,-0.05000000000003979
1832.17,2.971,0.0
1832.18,2.971,0.0
1832.19,2.971,0.0
1832.2,2.971,-0.05000000000003979
1832.21,2.97,-0.05000000000003979
1832.22,2.97,0.05000000000003979
1832.23,2.971,0.0
1832.24,2.97,-0.05000000000003979
1832.25,2.97,0.0
1832.26,2.97,0.0
1832.27,2.97,0.0
1832.28,2.97,0.0
1832.29,2.97,0.0
1832.3,2.97,0.0
1832.31,2.97,-0.05000000000003979
1832.32,2.969,-0.05000000000003979
1832.33,2.969,0.04999999999833449
1832.3400000000001,2.97,-2.2737367544323206e-12
1832.3500000000001,2.969,-0.05000000000003979
1832.3600000000001,2.969,0.0
1832.3700000000001,2.969,0.0
1832.38,2.969,-0.05000000000003979
