"","Kanal 10 Durchschn. (V)"
"1","0,001"
"2","0,001"
"3","0,001"
"4","0,001"
"5","0,001"
"6","0,001"
"7","0,001"
"8","0,001"
"9","0,001"
"10","0,001"
"11","0,001"
"12","0,001"
"13","0,001"
"14","0,001"
"15","0,001"
"16","0,001"
"17","0,001"
"18","0,001"
"19","0,001"
"20","0,001"
"21","0,001"
"22","0,001"
"23","0,001"
"24","0,001"
"25","0,001"
"26","0,001"
"27","0,001"
"28","0,001"
"29","0,001"
"30","0,001"
"31","0,001"
"32","0,001"
"33","0,001"
"34","0,001"
"35","0,001"
"36","0,001"
"37","0,001"
"38","0,001"
"39","0,001"
"40","0,001"
"41","0,001"
"42","0,001"
"43","0,000"
"44","0,001"
"45","0,001"
"46","0,002"
"47","0,001"
"48","0,001"
"49","0,001"
"50","0,001"
"51","0,001"
"52","0,001"
"53","0,001"
"54","0,002"
"55","0,001"
"56","0,001"
"57","0,001"
"58","0,002"
"59","0,000"
"60","0,001"
"61","0,001"
"62","0,001"
"63","0,001"
"64","0,001"
"65","0,001"
"66","0,001"
"67","0,001"
"68","0,001"
"69","0,001"
"70","0,001"
"71","0,001"
"72","0,001"
"73","0,001"
"74","0,001"
"75","0,001"
"76","0,001"
"77","0,001"
"78","0,001"
"79","0,001"
"80","0,001"
"81","0,001"
"82","0,001"
"83","0,001"
"84","0,001"
"85","0,001"
"86","0,001"
"87","0,001"
"88","0,001"
"89","0,001"
"90","0,001"
"91","0,001"
"92","0,001"
"93","0,001"
"94","0,001"
"95","0,001"
"96","0,001"
"97","0,001"
"98","0,001"
"99","0,001"
"100","0,002"
"101","0,001"
"102","0,001"
"103","0,001"
"104","0,001"
"105","0,001"
"106","0,001"
"107","0,001"
"108","0,001"
"109","0,001"
"110","0,001"
"111","0,001"
"112","0,001"
"113","0,001"
"114","0,001"
"115","0,001"
"116","0,001"
"117","0,001"
"118","0,001"
"119","0,001"
"120","0,001"
"121","0,001"
"122","0,001"
"123","0,001"
"124","0,001"
"125","0,001"
"126","0,001"
"127","0,001"
"128","0,001"
"129","0,001"
"130","0,000"
"131","0,001"
"132","0,001"
"133","0,001"
"134","0,000"
"135","0,002"
"136","0,001"
"137","0,001"
"138","0,001"
"139","0,001"
"140","0,001"
"141","0,001"
"142","0,001"
"143","0,002"
"144","0,001"
"145","0,001"
"146","0,001"
"147","0,001"
"148","0,001"
"149","0,001"
"150","0,001"
"151","0,002"
"152","0,001"
"153","0,001"
"154","0,001"
"155","0,001"
"156","0,001"
"157","0,001"
"158","0,001"
"159","0,001"
"160","0,001"
"161","0,001"
"162","0,001"
"163","0,001"
"164","0,001"
"165","0,001"
"166","0,001"
"167","0,001"
"168","0,002"
"169","0,001"
"170","0,001"
"171","0,001"
"172","0,001"
"173","0,001"
"174","0,001"
"175","0,001"
"176","0,001"
"177","0,001"
"178","0,001"
"179","0,001"
"180","0,001"
"181","0,002"
"182","0,001"
"183","0,001"
"184","0,001"
"185","0,002"
"186","0,001"
"187","0,001"
"188","0,001"
"189","0,002"
"190","0,001"
"191","0,002"
"192","0,001"
"193","0,001"
"194","0,001"
"195","0,001"
"196","0,001"
"197","0,001"
"198","0,001"
"199","0,001"
"200","0,001"
"201","0,001"
"202","0,001"
"203","0,001"
"204","0,002"
"205","0,001"
"206","0,001"
"207","0,001"
"208","0,001"
"209","0,001"
"210","0,001"
"211","0,001"
"212","0,001"
"213","0,001"
"214","0,001"
"215","0,001"
"216","0,001"
"217","0,001"
"218","0,001"
"219","0,001"
"220","0,001"
"221","0,001"
"222","0,001"
"223","0,001"
"224","0,001"
"225","0,001"
"226","0,001"
"227","0,002"
"228","0,001"
"229","0,001"
"230","0,001"
"231","0,001"
"232","0,001"
"233","0,001"
"234","0,001"
"235","0,001"
"236","0,001"
"237","0,001"
"238","0,002"
"239","0,001"
"240","0,001"
"241","0,001"
"242","0,002"
"243","0,001"
"244","0,001"
"245","0,001"
"246","0,001"
"247","0,001"
"248","0,001"
"249","0,001"
"250","0,001"
"251","0,001"
"252","0,001"
"253","0,001"
"254","0,001"
"255","0,001"
"256","0,001"
"257","0,001"
"258","0,001"
"259","0,001"
"260","0,001"
"261","0,001"
"262","0,001"
"263","0,001"
"264","0,001"
"265","0,000"
"266","0,001"
"267","0,001"
"268","0,001"
"269","0,001"
"270","0,001"
"271","0,001"
"272","0,001"
"273","0,001"
"274","0,001"
"275","0,001"
"276","0,001"
"277","0,002"
"278","0,001"
"279","0,001"
"280","0,001"
"281","0,001"
"282","0,001"
"283","0,001"
"284","0,001"
"285","0,001"
"286","0,001"
"287","0,001"
"288","0,001"
"289","0,000"
"290","0,001"
"291","0,001"
"292","0,001"
"293","0,001"
"294","0,001"
"295","0,001"
"296","0,001"
"297","0,001"
"298","0,001"
"299","0,001"
"300","0,001"
"301","0,001"
"302","0,001"
"303","0,001"
"304","0,001"
"305","0,001"
"306","0,001"
"307","0,001"
"308","0,001"
"309","0,001"
"310","0,002"
"311","0,001"
"312","0,001"
"313","0,001"
"314","0,001"
"315","0,001"
"316","0,001"
"317","0,001"
"318","0,001"
"319","0,002"
"320","0,001"
"321","0,001"
"322","0,001"
"323","0,001"
"324","0,001"
"325","0,001"
"326","0,001"
"327","0,001"
"328","0,001"
"329","0,001"
"330","0,001"
"331","0,001"
"332","0,001"
"333","0,001"
"334","0,001"
"335","0,001"
"336","0,001"
"337","0,000"
"338","0,001"
"339","0,001"
"340","0,002"
"341","0,001"
"342","0,001"
"343","0,001"
"344","0,001"
"345","0,001"
"346","0,001"
"347","0,001"
"348","0,001"
"349","0,001"
"350","0,001"
"351","0,001"
"352","0,001"
"353","0,001"
"354","0,001"
"355","0,001"
"356","0,001"
"357","0,001"
"358","0,001"
"359","0,001"
"360","0,001"
"361","0,001"
"362","0,001"
"363","0,001"
"364","0,001"
"365","0,001"
"366","0,001"
"367","0,001"
"368","0,001"
"369","0,001"
"370","0,001"
"371","0,001"
"372","0,001"
"373","0,001"
"374","0,001"
"375","0,001"
"376","0,001"
"377","0,002"
"378","0,001"
"379","0,001"
"380","0,001"
"381","0,001"
"382","0,001"
"383","0,001"
"384","0,001"
"385","0,001"
"386","0,001"
"387","0,001"
"388","0,001"
"389","0,001"
"390","0,001"
"391","0,001"
"392","0,001"
"393","0,001"
"394","0,001"
"395","0,001"
"396","0,001"
"397","0,001"
"398","0,001"
"399","0,001"
"400","0,001"
"401","0,001"
"402","0,001"
"403","0,001"
"404","0,001"
"405","0,001"
"406","0,001"
"407","0,001"
"408","0,001"
"409","0,001"
"410","0,001"
"411","0,001"
"412","0,001"
"413","0,001"
"414","0,001"
"415","0,002"
"416","0,001"
"417","0,001"
"418","0,002"
"419","0,001"
"420","0,001"
"421","0,001"
"422","0,001"
"423","0,001"
"424","0,001"
"425","0,001"
"426","0,001"
"427","0,002"
"428","0,001"
"429","0,001"
"430","0,001"
"431","0,001"
"432","0,001"
"433","0,001"
"434","0,001"
