"","Kanal 10 Durchschn. (V)"
"1",""
"2",""
"3",""
"4",""
"5",""
"6",""
"7",""
"8",""
"9",""
"10",""
"11",""
"12",""
"13",""
"14",""
"15",""
"16",""
"17",""
"18",""
"19",""
"20","0,000"
"21","0,001"
"22","0,000"
"23","0,001"
"24","0,000"
"25","0,000"
"26","0,001"
"27","0,000"
"28","0,000"
"29","0,001"
"30","0,001"
"31","0,000"
"32","0,000"
"33","0,000"
"34","0,001"
"35","0,000"
"36","0,000"
"37","0,000"
"38","0,000"
"39","0,000"
"40","0,000"
"41","0,000"
"42","0,000"
"43","0,001"
"44","0,000"
"45","0,001"
"46","0,001"
"47","0,000"
"48","0,000"
"49","0,001"
"50","0,000"
"51","0,000"
"52","0,000"
"53","0,000"
"54","0,000"
"55","0,000"
"56","0,000"
"57","0,000"
"58","0,000"
"59","0,000"
"60","0,001"
"61","0,001"
"62","0,000"
"63","0,000"
"64","0,000"
"65","0,001"
"66","0,000"
"67","0,000"
"68","0,001"
"69","0,000"
"70","0,000"
"71","0,000"
"72","0,000"
"73","0,001"
"74","0,001"
"75","0,000"
"76","0,001"
"77","0,001"
"78","0,000"
"79","0,001"
"80","0,000"
"81","0,001"
"82","0,000"
"83","0,000"
"84","0,001"
"85","0,000"
"86","0,000"
"87","0,001"
"88","0,000"
"89","0,001"
"90","0,001"
"91","0,001"
"92","0,000"
"93","0,000"
"94","0,000"
"95","0,001"
"96","0,000"
"97","0,000"
"98","0,000"
"99","0,000"
"100","0,000"
"101","0,001"
"102","0,000"
"103","0,001"
"104","0,001"
"105","0,001"
"106","0,000"
"107","0,000"
"108","0,001"
"109","0,000"
"110","0,000"
"111","0,000"
"112","0,001"
"113","0,000"
"114","0,000"
"115","0,000"
"116","0,001"
"117","0,000"
"118","0,001"
"119","0,001"
"120","0,001"
"121","0,000"
"122","0,000"
"123","0,001"
"124","0,000"
"125","0,000"
"126","0,000"
"127","0,000"
"128","0,000"
"129","0,001"
"130","0,000"
"131","0,001"
"132","0,000"
"133","0,000"
"134","0,001"
"135","0,000"
"136","0,000"
"137","0,000"
"138","0,000"
"139","0,000"
"140","0,001"
"141","0,000"
"142","0,000"
"143","0,001"
"144","0,001"
"145","0,001"
"146","0,000"
"147","0,001"
"148","0,000"
"149","0,001"
"150","0,000"
"151","0,000"
"152","0,000"
"153","0,000"
"154","0,000"
"155","0,000"
"156","0,001"
"157","0,001"
"158","0,001"
"159","0,000"
"160","0,001"
"161","0,001"
"162","0,000"
"163","0,000"
"164","0,001"
"165","0,000"
"166","0,000"
"167","0,000"
"168","0,001"
"169","0,000"
"170","0,000"
"171","0,001"
"172","0,000"
"173","0,000"
"174","0,001"
"175","0,000"
"176","0,000"
"177","0,000"
"178","0,001"
"179","0,000"
"180","0,000"
"181","0,001"
"182","0,000"
"183","0,000"
"184","0,000"
"185","0,000"
"186","0,000"
"187","0,000"
"188","0,000"
"189","0,000"
"190","0,000"
"191","0,001"
"192","0,000"
"193","0,000"
"194","0,000"
"195","0,001"
"196","0,000"
"197","0,001"
"198","0,000"
"199","0,001"
"200","0,001"
"201","0,000"
"202","0,001"
"203","0,000"
"204","0,001"
"205","0,000"
"206","0,000"
"207","0,000"
"208","0,000"
"209","0,001"
"210","0,000"
"211","0,001"
"212","0,001"
"213","0,001"
"214","0,000"
"215","0,001"
"216","0,001"
"217","0,000"
"218","0,000"
"219","0,001"
"220","0,000"
"221","0,000"
"222","0,001"
"223","0,000"
"224","0,001"
"225","0,001"
"226","0,001"
"227","0,000"
"228","0,001"
"229","0,000"
"230","0,000"
