"","Kanal 1 Durchschn. (V)","Kanal 4 Durchschn. (V)"
"1","0,004769","0,001221"
"2","0,004963","0,001744"
"3","0,005223","0,001425"
"4","0,003558","0,001374"
"5","0,004921","0,001145"
"6","0,005148","0,001395"
"7","0,004996","0,001526"
"8","0,004088","0,001134"
"9","0,004769","0,001832"
"10","0,005215","0,001221"
"11","0,004963","0,001343"
"12","0,004996","0,001483"
"13","0,004088","0,001221"
"14","0,005383","0,001465"
"15","0,004122","0,001047"
"16","0,004879","0,001483"
"17","0,004769","0,001068"
"18","0,003558","0,001587"
"19","0,005829","0,001657"
"20","0,004466","0,001450"
"21","0,005383","0,001308"
"22","0,004374","0,001323"
"23","0,005526","0,001450"
"24","0,004458","0,001134"
"25","0,005888","0,001465"
"26","0,004963","0,001483"
"27","0,005804","0,001657"
"28","0,004542","0,001308"
"29","0,004164","0,001323"
"30","0,004542","0,001679"
"31","0,005299","0,001425"
"32","0,004879","0,001465"
"33","0,004315","0,001308"
"34","0,005551","0,001450"
"35","0,004290","0,001134"
"36","0,004012","0,001308"
"37","0,005526","0,001450"
"38","0,005131","0,001308"
"39","0,004458","0,001526"
"40","0,004694","0,001450"
"41","0,004879","0,001374"
"42","0,005015","0,001425"
"43","0,005467","0,001308"
"44","0,005299","0,001744"
"45","0,004769","0,001526"
"46","0,004069","0,001323"
"47","0,005148","0,001526"
"48","0,004466","0,001755"
"49","0,004542","0,001323"
"50","0,004466","0,001628"
"51","0,006435","0,001374"
"52","0,004164","0,001526"
"53","0,005375","0,001297"
"54","0,004164","0,001492"
"55","0,004921","0,001526"
"56","0,005148","0,001395"
"57","0,004466","0,001730"
"58","0,005299","0,001297"
"59","0,003937","0,001323"
"60","0,005215","0,001628"
"61","0,004710","0,001450"
"62","0,005753","0,001755"
"63","0,004794","0,001323"
"64","0,005215","0,001221"
"65","0,004794","0,001483"
"66","0,004618","0,001221"
"67","0,004290","0,001465"
"68","0,005131","0,001425"
"69","0,005980","0,001425"
"70","0,004391","0,001308"
"71","0,004391","0,001308"
"72","0,004290","0,001657"
"73","0,005451","0,001323"
"74","0,003701","0,001679"
"75","0,005148","0,001526"
"76","0,005299","0,001395"
"77","0,004122","0,001465"
"78","0,004794","0,001343"
"79","0,004794","0,001308"
"80","0,006309","0,001308"
"81","0,004088","0,001119"
"82","0,004879","0,001221"
"83","0,004996","0,001570"
"84","0,004012","0,001134"
"85","0,004996","0,001308"
"86","0,004769","0,001308"
"87","0,005467","0,001047"
"88","0,004315","0,001465"
"89","0,004626","0,001374"
"90","0,005972","0,001483"
"91","0,003407","0,001221"
"92","0,004466","0,001068"
"93","0,005148","0,001744"
"94","0,005215","0,001570"
"95","0,001136","0,001628"
"96","0,004164","0,001221"
"97","0,005205","0,001657"
"98","0,004542","0,001425"
"99","0,003558","0,001526"
"100","0,005299","0,001570"
"101","0,005375","0,001308"
"102","0,003953","0,001221"
"103","0,004845","0,001221"
"104","0,005299","0,001395"
"105","0,004012","0,001709"
"106","0,006340","0,001221"
"107","0,004391","0,001221"
"108","0,004391","0,001526"
"109","0,004769","0,001221"
"110","0,003785","0,001483"
"111","0,005299","0,001450"
"112","0,004996","0,001323"
"113","0,004542","0,001221"
"114","0,005551","0,001374"
"115","0,005223","0,001483"
"116","0,004542","0,001323"
"117","0,004088","0,001221"
"118","0,006359","0,001832"
"119","0,004088","0,001374"
"120","0,004542","0,001570"
"121","0,005636","0,001832"
"122","0,004542","0,001308"
"123","0,004258","0,001832"
"124","0,004769","0,001395"
"125","0,005148","0,001657"
"126","0,004315","0,001483"
"127","0,004466","0,001395"
"128","0,005972","0,001603"
"129","0,004466","0,001526"
"130","0,003937","0,001153"
"131","0,005980","0,001483"
"132","0,005223","0,001483"
"133","0,003869","0,001323"
"134","0,004458","0,001221"
"135","0,006224","0,001483"
"136","0,004710","0,001483"
"137","0,003953","0,001526"
"138","0,005551","0,001374"
"139","0,005678","0,001526"
"140","0,004037","0,001323"
"141","0,004206","0,001047"
"142","0,004996","0,001374"
"143","0,005299","0,001483"
"144","0,004037","0,001526"
"145","0,004694","0,001221"
"146","0,005375","0,001374"
"147","0,004618","0,001465"
"148","0,003953","0,001308"
"149","0,004710","0,001526"
"150","0,005980","0,001221"
"151","0,004618","0,001323"
"152","0,004290","0,001374"
"153","0,004374","0,001483"
"154","0,005015","0,001425"
"155","0,005215","0,001099"
"156","0,004769","0,001832"
"157","0,003558","0,001134"
"158","0,005110","0,001323"
"159","0,004845","0,001395"
"160","0,006140","0,001308"
"161","0,003953","0,001343"
"162","0,003634","0,001323"
"163","0,004618","0,001657"
"164","0,005072","0,001425"
"165","0,004879","0,001343"
"166","0,005375","0,001221"
"167","0,004963","0,001395"
"168","0,003634","0,001119"
"169","0,004710","0,001465"
"170","0,005905","0,001308"
"171","0,004845","0,001587"
"172","0,004164","0,001465"
"173","0,003558","0,001308"
"174","0,004239","0,001483"
"175","0,005131","0,001221"
"176","0,006140","0,001018"
"177","0,005888","0,001570"
"178","0,004391","0,001297"
"179","0,003701","0,001526"
"180","0,003861","0,001483"
"181","0,005299","0,001395"
"182","0,006477","0,001323"
"183","0,004769","0,001343"
"184","0,006056","0,001483"
"185","0,004466","0,001308"
"186","0,004206","0,001526"
"187","0,003953","0,001730"
"188","0,004794","0,001221"
"189","0,004963","0,001323"
"190","0,005072","0,001425"
"191","0,007949","0,001832"
"192","0,005148","0,001323"
"193","0,004542","0,001465"
"194","0,005110","0,001134"
"195","0,003785","0,001395"
"196","0,003617","0,001323"
"197","0,004290","0,001526"
"198","0,006224","0,001483"
"199","0,005804","0,001221"
"200","0,005072","0,001323"
"201","0,005299","0,001221"
"202","0,004710","0,001570"
"203","0,003785","0,001343"
"204","0,004164","0,001134"
"205","0,004542","0,001603"
"206","0,004037","0,001145"
"207","0,004258","0,001323"
"208","0,004391","0,001657"
"209","0,005636","0,001570"
"210","0,004921","0,001526"
"211","0,005299","0,001323"
"212","0,006056","0,001832"
"213","0,005451","0,001483"
"214","0,005299","0,001119"
"215","0,004088","0,001134"
"216","0,005072","0,001570"
"217","0,004542","0,001308"
"218","0,003785","0,001395"
"219","0,004122","0,001679"
"220","0,003937","0,001657"
"221","0,003533","0,001679"
"222","0,004122","0,001526"
"223","0,004239","0,001657"
"224","0,003634","0,001425"
"225","0,003974","0,001297"
"226","0,004315","0,001832"
"227","0,004963","0,001570"
"228","0,004879","0,001832"
"229","0,005804","0,001357"
"230","0,006132","0,001603"
"231","0,005299","0,001323"
"232","0,005375","0,001587"
"233","0,005451","0,001374"
"234","0,005829","0,001374"
"235","0,005602","0,001526"
"236","0,004996","0,001153"
"237","0,006056","0,001657"
"238","0,005072","0,001570"
"239","0,004618","0,001526"
"240","0,005223","0,001526"
"241","0,005720","0,001450"
"242","0,005375","0,001832"
"243","0,004996","0,001395"
"244","0,005375","0,001570"
"245","0,004996","0,001526"
"246","0,004769","0,001343"
"247","0,005829","0,001450"
"248","0,005526","0,001374"
"249","0,004996","0,001709"
"250","0,005636","0,001308"
"251","0,004921","0,001657"
"252","0,005972","0,001068"
"253","0,004694","0,001343"
"254","0,006393","0,001374"
"255","0,005829","0,001297"
"256","0,006056","0,001221"
"257","0,004921","0,001323"
"258","0,005072","0,001657"
"259","0,005972","0,001425"
"260","0,004845","0,001221"
"261","0,005047","0,001221"
"262","0,004391","0,001483"
"263","0,003255","0,001465"
"264","0,003331","0,001308"
"265","0,004769","0,001570"
"266","0,004845","0,001221"
"267","0,004391","0,001221"
"268","0,004694","0,001483"
"269","0,004845","0,001395"
"270","0,005223","0,001221"
"271","0,004542","0,001119"
"272","0,005602","0,001308"
"273","0,005223","0,001308"
"274","0,005205","0,001465"
"275","0,003709","0,001221"
"276","0,005110","0,001570"
"277","0,004122","0,001323"
"278","0,004088","0,001323"
"279","0,005047","0,001395"
"280","0,004845","0,001657"
"281","0,005551","0,001465"
"282","0,004921","0,001323"
"283","0,005753","0,001374"
"284","0,005299","0,001221"
"285","0,004290","0,001425"
"286","0,004374","0,001308"
"287","0,003407","0,001221"
"288","0,003953","0,001343"
"289","0,005215","0,001730"
"290","0,005223","0,001374"
"291","0,005072","0,001221"
"292","0,005299","0,001221"
"293","0,004769","0,001450"
"294","0,004879","0,001526"
"295","0,004037","0,001343"
"296","0,004626","0,001221"
"297","0,004845","0,001526"
"298","0,004845","0,001425"
"299","0,004626","0,001425"
"300","0,005753","0,001570"
"301","0,005720","0,001657"
"302","0,004794","0,001465"
"303","0,004710","0,001425"
"304","0,004012","0,001603"
"305","0,004012","0,001221"
"306","0,005551","0,001221"
"307","0,005148","0,001570"
"308","0,005299","0,001357"
"309","0,004315","0,001483"
"310","0,003937","0,001374"
"311","0,005583","0,001744"
"312","0,004694","0,001526"
"313","0,004542","0,001323"
"314","0,005467","0,001570"
"315","0,004088","0,001570"
"316","0,003482","0,001221"
"317","0,004710","0,001425"
"318","0,005753","0,001832"
"319","0,004921","0,001395"
"320","0,003937","0,001221"
"321","0,003861","0,001450"
"322","0,004845","0,001603"
"323","0,005131","0,001297"
"324","0,003709","0,001395"
"325","0,004694","0,001450"
"326","0,004845","0,001730"
"327","0,005583","0,001526"
"328","0,004290","0,001450"
"329","0,004826","0,001570"
"330","0,004542","0,001709"
"331","0,004921","0,001221"
"332","0,006624","0,001603"
"333","0,004206","0,001323"
"334","0,004218","0,001323"
"335","0,004921","0,001657"
"336","0,005753","0,001450"
"337","0,004542","0,001221"
"338","0,003617","0,001308"
"339","0,004710","0,001404"
"340","0,005148","0,001297"
"341","0,005636","0,001587"
"342","0,004239","0,001308"
"343","0,004088","0,001297"
"344","0,005867","0,001465"
"345","0,004845","0,001425"
"346","0,004088","0,001450"
"347","0,004458","0,001221"
"348","0,004315","0,001343"
"349","0,006056","0,001657"
"350","0,004164","0,001450"
"351","0,003953","0,001221"
"352","0,004769","0,001119"
"353","0,005804","0,001395"
"354","0,004542","0,001221"
"355","0,004626","0,001526"
"356","0,005526","0,001297"
"357","0,004315","0,001374"
"358","0,003869","0,001221"
"359","0,005526","0,001395"
"360","0,006477","0,001450"
"361","0,004374","0,001221"
"362","0,004921","0,001526"
"363","0,005223","0,001308"
